sentence,labels
the officer behind the dancer in front of the executive,0
the book from the chefs in front of the taxi drivers,0
the shows that the dancers admire and the assistants admire,1
the author that the dancers like and the parents love,0
the surgeons in front of the dancers in front of the parents,1
the games that the architect likes and the taxi driver likes,1
the consultant that the skaters like and the parents hate,0
the games that the guard admires and the minister hates,1
the farmers to the side of the chefs near the assistants,1
the shows that the dancers like and the ministers hate,1
the novel that the chef likes and the taxi driver hates,0
the poem by the dancers next to the parents,0
the authors to the side of the guards next to the ministers,1
the officer that the skaters love and the ministers hate,0
the customers behind the architects behind the assistants,1
the managers to the side of the guard across from the parent,1
the picture from the skater next to the parent,0
the surgeons behind the guard next to the executive,1
the managers near the guards across from the executives,1
the teachers in front of the guards in front of the ministers,1
the novel that the guards hate and the assistants like,0
the authors that the guard likes and the taxi driver loves,1
the pilot near the dancer to the side of the parent,0
the managers that the guards hate and the ministers admire,1
the farmers behind the chefs to the side of the executives,1
the novels from the architect to the side of the assistant,1
the movies that the skater hates and the assistant admires,1
the novel that the dancers love and the parents admire,0
the novels from the architects to the side of the taxi drivers,1
the surgeon that the chef admires and the parent likes,0
the novels by the chefs to the side of the ministers,1
the surgeon to the side of the dancer behind the executive,0
the senator that the architect hates and the assistant likes,0
the senator near the architects behind the parents,0
the consultants that the skater hates and the assistant likes,1
the pilot next to the guards next to the taxi drivers,0
the manager in front of the chefs behind the taxi drivers,0
the farmers that the guards admire and the taxi drivers admire,1
the surgeon across from the guards behind the assistants,0
the consultant that the guard admires and the taxi driver loves,0
the movies from the chef behind the minister,1
the movies that the architect likes and the assistant hates,1
the customers that the guard loves and the parent admires,1
the movie that the skater likes and the taxi driver hates,0
the farmer that the guard likes and the parent loves,0
the customers in front of the skaters near the executives,1
the consultant next to the skaters near the taxi drivers,0
the show that the guards admire and the taxi drivers like,0
the consultants across from the dancers to the side of the assistants,1
the consultant that the guard likes and the taxi driver likes,0
the farmer that the chef hates and the executive likes,0
the customers to the side of the guard next to the taxi driver,1
the officer in front of the dancers near the taxi drivers,0
the teachers that the chef likes and the minister loves,1
the show by the skaters across from the taxi drivers,0
the farmers that the skaters admire and the taxi drivers admire,1
the officer behind the architect in front of the taxi driver,0
the movies from the dancers to the side of the taxi drivers,1
the pilot to the side of the architect next to the minister,0
the managers behind the skaters behind the taxi drivers,1
the poems by the architect across from the minister,1
the senators to the side of the skater behind the taxi driver,1
the pilots that the chef hates and the executive likes,1
the manager across from the guards behind the taxi drivers,0
the books from the skater in front of the minister,1
the manager next to the architects to the side of the assistants,0
the officers near the skaters behind the parents,1
the pilots behind the dancer behind the taxi driver,1
the teacher that the chefs like and the executives like,0
the teacher across from the architect to the side of the minister,0
the surgeon to the side of the skaters in front of the executives,0
the movie that the guards admire and the parents love,0
the officers across from the chefs to the side of the assistants,1
the officers to the side of the chefs across from the ministers,1
the pictures that the architects hate and the parents love,1
the pictures that the skater admires and the parent loves,1
the managers behind the chefs to the side of the executives,1
the teachers that the architect likes and the minister admires,1
the surgeons next to the skater in front of the parent,1
the manager to the side of the architect near the assistant,0
the officers behind the architects across from the parents,1
the manager to the side of the chef in front of the minister,0
the farmer to the side of the skaters behind the taxi drivers,0
the author in front of the guard across from the assistant,0
the officer across from the architect to the side of the minister,0
the game from the guards to the side of the parents,0
the customers to the side of the architect in front of the assistant,1
the teachers that the architect likes and the parent admires,1
the officer in front of the architects near the parents,0
the teacher next to the dancers across from the taxi drivers,0
the novels by the architects to the side of the ministers,1
the pilots that the guards hate and the parents admire,1
the paintings from the skaters next to the taxi drivers,1
the books by the dancers near the taxi drivers,1
the poem that the architect hates and the executive likes,0
the paintings by the chefs behind the taxi drivers,1
the managers that the dancer admires and the assistant likes,1
the novels that the guard likes and the minister likes,1
the song that the dancer hates and the taxi driver loves,0
the pilots that the architect admires and the parent hates,1
the customer next to the guards across from the parents,0
the poems by the chef behind the taxi driver,1
the customer in front of the dancer next to the executive,0
the novel that the chefs love and the parents hate,0
the managers that the skaters love and the assistants admire,1
the movie from the architect in front of the assistant,0
the senator that the chefs love and the executives hate,0
the surgeon next to the skaters in front of the ministers,0
the game that the guards admire and the parents like,0
the novel that the chefs admire and the executives hate,0
the farmers that the skaters love and the taxi drivers hate,1
the consultants next to the architects next to the taxi drivers,1
the authors that the chef likes and the assistant hates,1
the teacher that the architects like and the executives love,0
the poems that the guards admire and the executives like,1
the book by the chef in front of the executive,0
the shows from the architects behind the parents,1
the manager that the chefs love and the ministers like,0
the teachers near the skater near the parent,1
the consultants behind the chefs behind the assistants,1
the manager to the side of the dancer near the assistant,0
the farmer behind the architect in front of the taxi driver,0
the senators next to the skaters near the assistants,1
the customers that the skaters admire and the ministers hate,1
the surgeons to the side of the architects next to the executives,1
the customer to the side of the skaters next to the assistants,0
the picture that the chef admires and the assistant likes,0
the books that the chefs love and the taxi drivers admire,1
the pilots across from the guards near the executives,1
the manager across from the architect across from the executive,0
the songs that the architect loves and the parent likes,1
the shows from the chefs behind the taxi drivers,1
the customers behind the dancers near the ministers,1
the pilots near the chef in front of the assistant,1
the author behind the dancer near the executive,0
the teacher that the architects hate and the assistants love,0
the surgeon near the skaters behind the parents,0
the senator behind the architects to the side of the taxi drivers,0
the farmer that the chefs hate and the ministers admire,0
the teachers behind the skater near the minister,1
the managers next to the chef next to the parent,1
the show by the chefs next to the executives,0
the pilots that the skaters hate and the taxi drivers like,1
the pilots near the architect near the minister,1
the farmer that the guards admire and the parents love,0
the movies that the chefs admire and the taxi drivers love,1
the surgeon across from the skater to the side of the assistant,0
the surgeon behind the architects next to the assistants,0
the author that the chefs love and the executives hate,0
the managers to the side of the guards near the executives,1
the picture by the skaters near the assistants,0
the officers to the side of the chef in front of the parent,1
the games by the architects next to the executives,1
the movie by the guard next to the minister,0
the consultants behind the dancer near the taxi driver,1
the surgeons that the chef loves and the taxi driver loves,1
the paintings from the architect near the taxi driver,1
the managers in front of the guards next to the executives,1
the farmer next to the skater near the taxi driver,0
the surgeons that the architects like and the assistants hate,1
the surgeons near the dancer in front of the minister,1
the managers behind the dancers near the assistants,1
the officers near the dancer in front of the assistant,1
the managers near the chef near the assistant,1
the pilots that the guards like and the assistants admire,1
the consultants across from the dancers behind the parents,1
the pilot to the side of the skaters next to the ministers,0
the customers next to the skaters near the parents,1
the manager across from the guards behind the parents,0
the authors that the guard admires and the executive hates,1
the teacher that the skater admires and the taxi driver admires,0
the novel from the guards near the ministers,0
the farmer near the guards behind the ministers,0
the managers next to the chefs to the side of the assistants,1
the book that the chef likes and the minister loves,0
the games from the skater next to the minister,1
the surgeon that the chefs like and the parents like,0
the pilots that the architects love and the taxi drivers hate,1
the farmers to the side of the chef behind the minister,1
the paintings that the chef admires and the minister loves,1
the games that the dancer hates and the assistant likes,1
the poems that the dancers love and the taxi drivers like,1
the paintings from the guard to the side of the executive,1
the author that the dancer admires and the parent likes,0
the pilots next to the chef behind the taxi driver,1
the officers that the dancer loves and the taxi driver likes,1
the picture that the chef hates and the executive loves,0
the pictures by the chefs next to the assistants,1
the customers next to the chef near the taxi driver,1
the consultants to the side of the guards in front of the assistants,1
the teachers to the side of the chefs to the side of the assistants,1
the farmer that the chef admires and the assistant loves,0
the teachers that the architect hates and the minister admires,1
the customer across from the skater next to the parent,0
the pilot near the architects across from the executives,0
the game that the chefs admire and the executives love,0
the consultant next to the dancer in front of the executive,0
the surgeon that the architect loves and the parent hates,0
the officers in front of the guard next to the parent,1
the customers that the skaters admire and the assistants admire,1
the consultant behind the guards to the side of the ministers,0
the customers across from the guard in front of the minister,1
the surgeon across from the architects in front of the executives,0
the paintings that the dancer hates and the executive admires,1
the show that the guards like and the taxi drivers admire,0
the customers next to the architect behind the assistant,1
the consultants near the dancers in front of the taxi drivers,1
the teachers that the skaters admire and the ministers hate,1
the officers near the skaters in front of the taxi drivers,1
the author behind the architects near the assistants,0
the senators behind the guards to the side of the ministers,1
the teachers near the guards near the taxi drivers,1
the customer that the guard hates and the executive hates,0
the surgeons to the side of the chef next to the executive,1
the customer in front of the dancers near the assistants,0
the picture from the architects in front of the assistants,0
the surgeon that the architects like and the assistants like,0
the poems that the skaters like and the ministers love,1
the surgeon across from the guards in front of the ministers,0
the officer that the dancers admire and the parents love,0
the authors next to the dancers behind the taxi drivers,1
the surgeon near the guards to the side of the parents,0
the surgeons across from the dancer in front of the taxi driver,1
the senator to the side of the dancers to the side of the assistants,0
the consultant that the chefs love and the taxi drivers hate,0
the farmer that the architect loves and the assistant likes,0
the teachers that the skater hates and the executive loves,1
the authors near the dancers in front of the ministers,1
the farmers in front of the dancers in front of the executives,1
the farmer to the side of the architects behind the taxi drivers,0
the novels by the chef in front of the parent,1
the manager that the skater likes and the parent loves,0
the show that the dancer likes and the taxi driver admires,0
the surgeons near the guard near the taxi driver,1
the paintings that the architect likes and the parent loves,1
the officer behind the architects behind the parents,0
the authors near the chefs across from the ministers,1
the poem that the chefs admire and the taxi drivers like,0
the senator to the side of the dancers near the ministers,0
the consultants in front of the chefs next to the ministers,1
the pilots to the side of the chef across from the taxi driver,1
the teachers in front of the architects near the taxi drivers,1
the senators to the side of the dancers across from the parents,1
the pilot that the skaters love and the taxi drivers like,0
the pictures that the dancer likes and the executive admires,1
the teachers across from the architect to the side of the assistant,1
the author in front of the guard behind the assistant,0
the managers behind the chefs next to the executives,1
the farmers next to the skaters in front of the assistants,1
the paintings that the architects admire and the taxi drivers admire,1
the picture by the chef behind the taxi driver,0
the pictures by the dancers across from the ministers,1
the farmers near the guard to the side of the taxi driver,1
the movie that the chefs hate and the ministers like,0
the surgeon in front of the chefs across from the ministers,0
the customer in front of the dancers next to the ministers,0
the games by the skater next to the assistant,1
the farmers across from the dancer next to the minister,1
the farmers across from the architects next to the executives,1
the surgeon in front of the skater next to the executive,0
the surgeons that the architect hates and the parent hates,1
the senators that the dancer loves and the minister admires,1
the manager near the chefs near the taxi drivers,0
the teachers next to the dancer near the taxi driver,1
the customer to the side of the architects across from the executives,0
the farmers that the dancers love and the assistants like,1
the pilot next to the chef in front of the minister,0
the customer next to the dancers behind the taxi drivers,0
the pilots that the architects hate and the taxi drivers like,1
the officers that the skaters like and the executives admire,1
the consultant near the skaters next to the executives,0
the authors that the skater admires and the executive admires,1
the teacher in front of the skater next to the minister,0
the songs by the dancer behind the parent,1
the officers behind the guard behind the taxi driver,1
the teachers across from the architects behind the assistants,1
the manager near the skater near the executive,0
the manager across from the dancer across from the parent,0
the picture by the guard to the side of the minister,0
the customer behind the skater in front of the parent,0
the song from the skater near the taxi driver,0
the song that the dancer loves and the parent loves,0
the poems that the guard likes and the minister hates,1
the consultant that the skater loves and the minister admires,0
the officers next to the skaters in front of the assistants,1
the show that the guards hate and the executives love,0
the show that the chef loves and the executive admires,0
the managers across from the guards to the side of the taxi drivers,1
the surgeon next to the skater in front of the taxi driver,0
the shows that the dancer loves and the minister admires,1
the movies that the guards like and the ministers like,1
the customer that the guard hates and the assistant likes,0
the consultants near the skater to the side of the minister,1
the paintings by the architects across from the taxi drivers,1
the surgeon that the skater loves and the assistant likes,0
the teachers to the side of the guards in front of the parents,1
the officers next to the architect across from the minister,1
the senator behind the architect across from the taxi driver,0
the authors across from the guards next to the ministers,1
the pictures that the architects like and the assistants love,1
the teachers that the dancers admire and the executives hate,1
the consultant to the side of the architect behind the executive,0
the customers to the side of the guard in front of the executive,1
the authors behind the chef next to the parent,1
the managers behind the chef across from the parent,1
the poems that the skater hates and the assistant likes,1
the novel from the dancers in front of the parents,0
the author to the side of the chef behind the executive,0
the teacher in front of the chefs across from the assistants,0
the manager to the side of the dancer in front of the parent,0
the poems that the guard hates and the assistant hates,1
the poem that the dancers like and the parents like,0
the game from the guards near the assistants,0
the author behind the guard behind the assistant,0
the author across from the guard in front of the minister,0
the author to the side of the architect near the executive,0
the game by the guards in front of the ministers,0
the games that the chefs love and the parents love,1
the pilot to the side of the dancers behind the executives,0
the consultants that the architects like and the executives love,1
the consultant that the skaters hate and the taxi drivers love,0
the manager that the dancer admires and the minister likes,0
the senators that the architects hate and the assistants hate,1
the author that the skaters hate and the executives hate,0
the teacher behind the guard next to the parent,0
the poem that the dancer likes and the executive loves,0
the senators in front of the chef in front of the minister,1
the consultant next to the architect near the assistant,0
the authors that the architect loves and the assistant hates,1
the manager to the side of the skater across from the executive,0
the shows by the chefs next to the taxi drivers,1
the books that the chef loves and the executive admires,1
the pilot behind the skaters in front of the executives,0
the teachers across from the dancer across from the assistant,1
the authors that the architects hate and the assistants love,1
the pilot in front of the guards to the side of the taxi drivers,0
the officer that the architects admire and the assistants love,0
the pilots near the dancer behind the parent,1
the author near the skater next to the taxi driver,0
the officer that the chef loves and the parent hates,0
the senator behind the architects next to the ministers,0
the surgeon across from the chef in front of the executive,0
the managers to the side of the chef behind the assistant,1
the pilot across from the dancers near the ministers,0
the customer across from the skater near the parent,0
the novels by the dancers to the side of the parents,1
the consultants near the skater across from the assistant,1
the books by the dancers to the side of the ministers,1
the farmers that the chefs love and the taxi drivers like,1
the officer behind the dancer across from the executive,0
the customers that the chef hates and the parent admires,1
the consultants next to the chefs near the assistants,1
the surgeon to the side of the architects across from the ministers,0
the pilots that the skater hates and the assistant admires,1
the picture that the chefs love and the taxi drivers love,0
the pilots across from the architect across from the taxi driver,1
the song that the architects admire and the parents like,0
the senator that the architect loves and the taxi driver admires,0
the surgeons across from the architects in front of the ministers,1
the pictures that the architects hate and the parents hate,1
the pilot near the architect next to the minister,0
the pilots in front of the guards to the side of the taxi drivers,1
the consultants in front of the architect near the assistant,1
the manager next to the skaters behind the assistants,0
the managers behind the chefs across from the ministers,1
the surgeons in front of the dancers across from the ministers,1
the consultants to the side of the chef in front of the assistant,1
the pilot near the chefs behind the parents,0
the surgeon to the side of the skater in front of the minister,0
the game by the guard behind the assistant,0
the consultants near the guard in front of the parent,1
the pilots next to the architect next to the taxi driver,1
the movie from the dancers across from the taxi drivers,0
the senator near the guards behind the parents,0
the consultant to the side of the skater in front of the executive,0
the novel from the dancer next to the taxi driver,0
the manager that the skater hates and the taxi driver loves,0
the teacher across from the chef to the side of the taxi driver,0
the movie that the chefs admire and the ministers like,0
the pilot in front of the guard to the side of the executive,0
the author next to the guards across from the executives,0
the songs that the chef admires and the minister hates,1
the book that the chef hates and the executive likes,0
the books by the architect next to the minister,1
the poems by the skaters near the executives,1
the consultant to the side of the dancers in front of the assistants,0
the novels that the chef likes and the minister likes,1
the pilots next to the architect next to the minister,1
the manager that the architects love and the taxi drivers admire,0
the surgeon that the chefs hate and the executives love,0
the teachers that the guard hates and the executive loves,1
the farmers behind the skater behind the taxi driver,1
the authors that the chef hates and the executive loves,1
the game that the dancers like and the executives hate,0
the songs that the guards love and the parents hate,1
the consultant near the dancers across from the ministers,0
the pictures that the guards hate and the ministers admire,1
the books that the architects love and the taxi drivers hate,1
the customers that the guards admire and the executives hate,1
the senators across from the guards to the side of the taxi drivers,1
the songs that the architects admire and the parents love,1
the book by the guards next to the assistants,0
the painting that the skaters admire and the ministers admire,0
the song from the chefs in front of the executives,0
the authors in front of the dancer across from the minister,1
the songs from the guard behind the executive,1
the farmer near the architects across from the assistants,0
the managers next to the architects behind the executives,1
the surgeons in front of the chefs near the taxi drivers,1
the pilots that the chef likes and the taxi driver admires,1
the novel from the architects across from the taxi drivers,0
the game by the guard near the minister,0
the surgeon that the architect admires and the assistant admires,0
the books from the guard in front of the assistant,1
the teacher across from the dancers next to the assistants,0
the senator that the skater hates and the assistant likes,0
the consultant across from the chefs next to the parents,0
the teacher that the chef likes and the taxi driver hates,0
the poem that the guards hate and the assistants admire,0
the poems from the dancer behind the assistant,1
the senator that the skater admires and the assistant admires,0
the customers near the dancer next to the parent,1
the manager behind the dancers in front of the ministers,0
the officer to the side of the architects behind the parents,0
the farmer next to the guard near the taxi driver,0
the senators that the architects hate and the assistants like,1
the game by the skater next to the executive,0
the officer to the side of the skater next to the assistant,0
the pilot that the guards hate and the ministers hate,0
the consultant in front of the chef behind the executive,0
the poem from the skaters behind the taxi drivers,0
the consultants to the side of the guard behind the minister,1
the paintings that the dancers admire and the assistants hate,1
the books that the architects like and the executives love,1
the poems by the architect behind the executive,1
the customer to the side of the dancers in front of the executives,0
the pilot that the architect hates and the assistant likes,0
the officers near the dancer in front of the executive,1
the painting by the skater across from the assistant,0
the customers near the architects behind the ministers,1
the pictures that the architect admires and the minister hates,1
the senator in front of the dancers across from the ministers,0
the authors to the side of the architects to the side of the parents,1
the teachers in front of the guard behind the minister,1
the poem that the architect admires and the minister admires,0
the movie from the guard across from the executive,0
the shows that the guards love and the ministers love,1
the paintings that the dancers love and the assistants admire,1
the pilot in front of the dancer behind the taxi driver,0
the authors that the architect hates and the minister likes,1
the manager next to the chef near the executive,0
the pilot in front of the chef behind the minister,0
the senators next to the chef behind the taxi driver,1
the surgeons in front of the architect in front of the minister,1
the books from the architects near the taxi drivers,1
the teachers to the side of the dancer next to the executive,1
the teachers in front of the dancers next to the parents,1
the shows by the architect next to the minister,1
the pilots near the guards to the side of the parents,1
the customer near the dancer next to the assistant,0
the surgeon that the skater admires and the taxi driver admires,0
the customers near the skater in front of the parent,1
the novels by the chefs to the side of the parents,1
the surgeon near the dancers in front of the taxi drivers,0
the pilots that the dancers like and the taxi drivers like,1
the song that the architects love and the taxi drivers like,0
the officer behind the dancers next to the parents,0
the officers that the guards love and the taxi drivers hate,1
the novels that the dancer hates and the taxi driver hates,1
the poem that the chef loves and the executive admires,0
the poem from the architect to the side of the parent,0
the teachers near the chefs behind the taxi drivers,1
the show that the dancers hate and the taxi drivers like,0
the pilots that the dancers love and the executives love,1
the consultants behind the chefs in front of the executives,1
the books from the dancers next to the executives,1
the paintings that the guards like and the taxi drivers hate,1
the consultant that the guards admire and the assistants love,0
the consultants to the side of the dancers across from the taxi drivers,1
the senator near the architect in front of the taxi driver,0
the farmer that the chefs like and the taxi drivers like,0
the games from the skater next to the executive,1
the authors near the skaters near the assistants,1
the customers that the dancers like and the executives hate,1
the senators in front of the skaters next to the assistants,1
the customer that the chefs hate and the parents hate,0
the officers next to the guards in front of the assistants,1
the paintings by the guards behind the executives,1
the farmer across from the chef across from the minister,0
the officers near the skaters behind the taxi drivers,1
the senators next to the dancer to the side of the assistant,1
the consultant in front of the dancers in front of the taxi drivers,0
the customers next to the guard in front of the minister,1
the poems from the chefs behind the assistants,1
the manager next to the dancers to the side of the parents,0
the authors in front of the architect to the side of the minister,1
the surgeons across from the skaters in front of the parents,1
the poem by the guards in front of the parents,0
the surgeon near the dancer near the assistant,0
the manager next to the skaters next to the assistants,0
the farmers that the architects hate and the executives admire,1
the officers that the chef admires and the taxi driver likes,1
the customers across from the skater behind the assistant,1
the pilots behind the dancer to the side of the assistant,1
the novels that the dancer loves and the parent likes,1
the officers that the dancers love and the executives hate,1
the pilot that the chefs hate and the ministers admire,0
the surgeon across from the guard across from the minister,0
the customer that the architect likes and the executive likes,0
the customers in front of the chef behind the executive,1
the author that the chefs like and the parents love,0
the pilot to the side of the dancers across from the executives,0
the officers next to the chef across from the executive,1
the novel that the architects hate and the ministers love,0
the poem that the guard likes and the assistant hates,0
the senator next to the skater to the side of the executive,0
the teachers that the guards hate and the ministers admire,1
the senators near the dancers in front of the executives,1
the customer in front of the guards to the side of the taxi drivers,0
the pilots across from the dancers in front of the assistants,1
the poem from the dancer next to the assistant,0
the movie by the chef next to the parent,0
the managers that the guards hate and the ministers like,1
the surgeon to the side of the dancers near the ministers,0
the surgeons in front of the dancer behind the assistant,1
the authors that the skater likes and the assistant hates,1
the surgeons to the side of the chefs behind the executives,1
the customers near the architects to the side of the assistants,1
the picture that the dancers love and the parents admire,0
the author in front of the dancers behind the ministers,0
the movies by the guard behind the executive,1
the manager that the architects admire and the executives love,0
the game by the dancer next to the parent,0
the senator near the architects across from the assistants,0
the customer that the chef hates and the parent admires,0
the consultant that the guard likes and the parent loves,0
the authors behind the skaters behind the ministers,1
the senators that the chefs love and the ministers love,1
the manager across from the skater in front of the parent,0
the managers near the guards across from the parents,1
the novels that the chef hates and the taxi driver admires,1
the consultants across from the guards behind the parents,1
the managers that the guards love and the parents like,1
the book from the chefs to the side of the ministers,0
the painting by the skaters next to the taxi drivers,0
the pilot next to the dancer next to the minister,0
the song from the dancer behind the minister,0
the surgeons near the architect to the side of the assistant,1
the manager that the architect loves and the minister likes,0
the author to the side of the skater near the taxi driver,0
the officer that the dancer hates and the executive admires,0
the managers across from the architect across from the parent,1
the pilot that the guard hates and the taxi driver loves,0
the movie from the architects in front of the assistants,0
the senator next to the architects behind the taxi drivers,0
the farmers near the chef to the side of the taxi driver,1
the author to the side of the guards to the side of the taxi drivers,0
the pictures from the architects in front of the parents,1
the consultants across from the chef behind the minister,1
the farmer next to the architect in front of the parent,0
the pictures that the dancer admires and the minister likes,1
the managers next to the chef across from the assistant,1
the pictures that the architects hate and the assistants love,1
the senator behind the guard near the parent,0
the teachers across from the guards in front of the ministers,1
the customers behind the guards across from the executives,1
the officer next to the dancers across from the ministers,0
the paintings from the dancer in front of the minister,1
the consultant across from the skater to the side of the parent,0
the novel from the dancer in front of the assistant,0
the manager that the skaters like and the assistants admire,0
the farmers near the chefs in front of the executives,1
the author that the dancers like and the parents admire,0
the pilot that the chefs like and the parents admire,0
the surgeon next to the dancers to the side of the executives,0
the consultants that the chefs hate and the executives like,1
the farmers that the architect admires and the taxi driver admires,1
the farmer that the guards admire and the executives admire,0
the pilots near the guards next to the assistants,1
the senator that the skater loves and the taxi driver hates,0
the officer near the guard near the taxi driver,0
the surgeons that the dancer likes and the executive hates,1
the books from the chefs in front of the parents,1
the books by the dancer across from the parent,1
the officers to the side of the skaters near the taxi drivers,1
the officer near the chefs to the side of the assistants,0
the farmers that the chef admires and the executive likes,1
the farmer behind the skaters near the taxi drivers,0
the consultants in front of the dancers in front of the parents,1
the games that the skater loves and the minister hates,1
the officer that the chef likes and the assistant hates,0
the paintings from the skaters near the ministers,1
the senators that the guards love and the taxi drivers like,1
the farmer behind the architect across from the executive,0
the surgeons in front of the guards next to the executives,1
the novels that the guards hate and the assistants admire,1
the farmers near the guards behind the taxi drivers,1
the senators behind the guard near the parent,1
the song that the guards like and the taxi drivers like,0
the book from the dancer in front of the executive,0
the books that the architects admire and the assistants hate,1
the poems that the chef admires and the minister loves,1
the farmers behind the skaters across from the assistants,1
the consultants to the side of the skaters in front of the taxi drivers,1
the game that the chef likes and the parent hates,0
the officers that the dancer hates and the taxi driver admires,1
