sentence,labels,ungrammatical,gender
the mechanic thought the officer disguised herself,0,the mechanic thought the officer disguised themselves,1
the mechanic thought the officer hated himself,0,the mechanic thought the officer hated themselves,0
the mechanic thought the officer hated herself,0,the mechanic thought the officer hated themselves,1
the mechanic thought the officer doubted himself,0,the mechanic thought the officer doubted themselves,0
the mechanic thought the officer doubted herself,0,the mechanic thought the officer doubted themselves,1
the mechanic thought the teacher hurt himself,0,the mechanic thought the teacher hurt themselves,0
the mechanic thought the teacher hurt herself,0,the mechanic thought the teacher hurt themselves,1
the mechanic thought the teacher injured himself,0,the mechanic thought the teacher injured themselves,0
the mechanic thought the teacher injured herself,0,the mechanic thought the teacher injured themselves,1
the mechanic thought the teacher congratulated himself,0,the mechanic thought the teacher congratulated themselves,0
the mechanic thought the teacher congratulated herself,0,the mechanic thought the teacher congratulated themselves,1
the mechanic thought the teacher embarrassed himself,0,the mechanic thought the teacher embarrassed themselves,0
the mechanic thought the teacher embarrassed herself,0,the mechanic thought the teacher embarrassed themselves,1
the mechanic thought the teacher disguised himself,0,the mechanic thought the teacher disguised themselves,0
the mechanic thought the teacher disguised herself,0,the mechanic thought the teacher disguised themselves,1
the mechanic thought the teacher hated himself,0,the mechanic thought the teacher hated themselves,0
the mechanic thought the teacher hated herself,0,the mechanic thought the teacher hated themselves,1
the mechanic thought the teacher doubted himself,0,the mechanic thought the teacher doubted themselves,0
the mechanic thought the teacher doubted herself,0,the mechanic thought the teacher doubted themselves,1
the mechanic thought the senator hurt himself,0,the mechanic thought the senator hurt themselves,0
the mechanic thought the senator hurt herself,0,the mechanic thought the senator hurt themselves,1
the mechanic thought the senator injured himself,0,the mechanic thought the senator injured themselves,0
the mechanic thought the senator injured herself,0,the mechanic thought the senator injured themselves,1
the mechanic thought the senator congratulated himself,0,the mechanic thought the senator congratulated themselves,0
the mechanic thought the senator congratulated herself,0,the mechanic thought the senator congratulated themselves,1
the mechanic thought the senator embarrassed himself,0,the mechanic thought the senator embarrassed themselves,0
the mechanic thought the senator embarrassed herself,0,the mechanic thought the senator embarrassed themselves,1
the mechanic thought the senator disguised himself,0,the mechanic thought the senator disguised themselves,0
the mechanic thought the senator disguised herself,0,the mechanic thought the senator disguised themselves,1
the mechanic thought the senator hated himself,0,the mechanic thought the senator hated themselves,0
the mechanic thought the senator hated herself,0,the mechanic thought the senator hated themselves,1
the mechanic thought the senator doubted himself,0,the mechanic thought the senator doubted themselves,0
the mechanic thought the senator doubted herself,0,the mechanic thought the senator doubted themselves,1
the mechanic thought the consultant hurt himself,0,the mechanic thought the consultant hurt themselves,0
the mechanic thought the consultant hurt herself,0,the mechanic thought the consultant hurt themselves,1
the mechanic thought the consultant injured himself,0,the mechanic thought the consultant injured themselves,0
the mechanic thought the consultant injured herself,0,the mechanic thought the consultant injured themselves,1
the mechanic thought the consultant congratulated himself,0,the mechanic thought the consultant congratulated themselves,0
the mechanic thought the consultant congratulated herself,0,the mechanic thought the consultant congratulated themselves,1
the mechanic thought the consultant embarrassed himself,0,the mechanic thought the consultant embarrassed themselves,0
the mechanic thought the consultant embarrassed herself,0,the mechanic thought the consultant embarrassed themselves,1
the mechanic thought the consultant disguised himself,0,the mechanic thought the consultant disguised themselves,0
the mechanic thought the consultant disguised herself,0,the mechanic thought the consultant disguised themselves,1
the mechanic thought the consultant hated himself,0,the mechanic thought the consultant hated themselves,0
the mechanic thought the consultant hated herself,0,the mechanic thought the consultant hated themselves,1
the mechanic thought the consultant doubted himself,0,the mechanic thought the consultant doubted themselves,0
the mechanic thought the consultant doubted herself,0,the mechanic thought the consultant doubted themselves,1
the mechanic knew the author hurt himself,0,the mechanic knew the author hurt themselves,0
the mechanic knew the author hurt herself,0,the mechanic knew the author hurt themselves,1
the mechanic knew the author injured himself,0,the mechanic knew the author injured themselves,0
the mechanic knew the author injured herself,0,the mechanic knew the author injured themselves,1
the mechanic knew the author congratulated himself,0,the mechanic knew the author congratulated themselves,0
the mechanic knew the author congratulated herself,0,the mechanic knew the author congratulated themselves,1
the mechanic knew the author embarrassed himself,0,the mechanic knew the author embarrassed themselves,0
the mechanic knew the author embarrassed herself,0,the mechanic knew the author embarrassed themselves,1
the mechanic knew the author disguised himself,0,the mechanic knew the author disguised themselves,0
the mechanic knew the author disguised herself,0,the mechanic knew the author disguised themselves,1
the mechanic knew the author hated himself,0,the mechanic knew the author hated themselves,0
the mechanic knew the author hated herself,0,the mechanic knew the author hated themselves,1
the mechanic knew the author doubted himself,0,the mechanic knew the author doubted themselves,0
the mechanic knew the author doubted herself,0,the mechanic knew the author doubted themselves,1
the mechanic knew the pilot hurt himself,0,the mechanic knew the pilot hurt themselves,0
the mechanic knew the pilot hurt herself,0,the mechanic knew the pilot hurt themselves,1
the mechanic knew the pilot injured himself,0,the mechanic knew the pilot injured themselves,0
the mechanic knew the pilot injured herself,0,the mechanic knew the pilot injured themselves,1
the mechanic knew the pilot congratulated himself,0,the mechanic knew the pilot congratulated themselves,0
the mechanic knew the pilot congratulated herself,0,the mechanic knew the pilot congratulated themselves,1
the mechanic knew the pilot embarrassed himself,0,the mechanic knew the pilot embarrassed themselves,0
the mechanic knew the pilot embarrassed herself,0,the mechanic knew the pilot embarrassed themselves,1
the mechanic knew the pilot disguised himself,0,the mechanic knew the pilot disguised themselves,0
the mechanic knew the pilot disguised herself,0,the mechanic knew the pilot disguised themselves,1
the mechanic knew the pilot hated himself,0,the mechanic knew the pilot hated themselves,0
the mechanic knew the pilot hated herself,0,the mechanic knew the pilot hated themselves,1
the mechanic knew the pilot doubted himself,0,the mechanic knew the pilot doubted themselves,0
the mechanic knew the pilot doubted herself,0,the mechanic knew the pilot doubted themselves,1
the mechanic knew the surgeon hurt himself,0,the mechanic knew the surgeon hurt themselves,0
the mechanic knew the surgeon hurt herself,0,the mechanic knew the surgeon hurt themselves,1
the mechanic knew the surgeon injured himself,0,the mechanic knew the surgeon injured themselves,0
the mechanic knew the surgeon injured herself,0,the mechanic knew the surgeon injured themselves,1
the mechanic knew the surgeon congratulated himself,0,the mechanic knew the surgeon congratulated themselves,0
the mechanic knew the surgeon congratulated herself,0,the mechanic knew the surgeon congratulated themselves,1
the mechanic knew the surgeon embarrassed himself,0,the mechanic knew the surgeon embarrassed themselves,0
the mechanic knew the surgeon embarrassed herself,0,the mechanic knew the surgeon embarrassed themselves,1
the mechanic knew the surgeon disguised himself,0,the mechanic knew the surgeon disguised themselves,0
the mechanic knew the surgeon disguised herself,0,the mechanic knew the surgeon disguised themselves,1
the mechanic knew the surgeon hated himself,0,the mechanic knew the surgeon hated themselves,0
the mechanic knew the surgeon hated herself,0,the mechanic knew the surgeon hated themselves,1
the mechanic knew the surgeon doubted himself,0,the mechanic knew the surgeon doubted themselves,0
the mechanic knew the surgeon doubted herself,0,the mechanic knew the surgeon doubted themselves,1
the mechanic knew the farmer hurt himself,0,the mechanic knew the farmer hurt themselves,0
the mechanic knew the farmer hurt herself,0,the mechanic knew the farmer hurt themselves,1
the mechanic knew the farmer injured himself,0,the mechanic knew the farmer injured themselves,0
the mechanic knew the farmer injured herself,0,the mechanic knew the farmer injured themselves,1
the mechanic knew the farmer congratulated himself,0,the mechanic knew the farmer congratulated themselves,0
the mechanic knew the farmer congratulated herself,0,the mechanic knew the farmer congratulated themselves,1
the mechanic knew the farmer embarrassed himself,0,the mechanic knew the farmer embarrassed themselves,0
the mechanic knew the farmer embarrassed herself,0,the mechanic knew the farmer embarrassed themselves,1
the mechanic knew the farmer disguised himself,0,the mechanic knew the farmer disguised themselves,0
the mechanic knew the farmer disguised herself,0,the mechanic knew the farmer disguised themselves,1
the mechanic knew the farmer hated himself,0,the mechanic knew the farmer hated themselves,0
the mechanic knew the farmer hated herself,0,the mechanic knew the farmer hated themselves,1
the mechanic knew the farmer doubted himself,0,the mechanic knew the farmer doubted themselves,0
the mechanic knew the farmer doubted herself,0,the mechanic knew the farmer doubted themselves,1
the mechanic knew the manager hurt himself,0,the mechanic knew the manager hurt themselves,0
the mechanic knew the manager hurt herself,0,the mechanic knew the manager hurt themselves,1
the mechanic knew the manager injured himself,0,the mechanic knew the manager injured themselves,0
the mechanic knew the manager injured herself,0,the mechanic knew the manager injured themselves,1
the mechanic knew the manager congratulated himself,0,the mechanic knew the manager congratulated themselves,0
the mechanic knew the manager congratulated herself,0,the mechanic knew the manager congratulated themselves,1
the mechanic knew the manager embarrassed himself,0,the mechanic knew the manager embarrassed themselves,0
the mechanic knew the manager embarrassed herself,0,the mechanic knew the manager embarrassed themselves,1
the mechanic knew the manager disguised himself,0,the mechanic knew the manager disguised themselves,0
the mechanic knew the manager disguised herself,0,the mechanic knew the manager disguised themselves,1
the mechanic knew the manager hated himself,0,the mechanic knew the manager hated themselves,0
the mechanic knew the manager hated herself,0,the mechanic knew the manager hated themselves,1
the mechanic knew the manager doubted himself,0,the mechanic knew the manager doubted themselves,0
the mechanic knew the manager doubted herself,0,the mechanic knew the manager doubted themselves,1
the mechanic knew the customer hurt himself,0,the mechanic knew the customer hurt themselves,0
the mechanic knew the customer hurt herself,0,the mechanic knew the customer hurt themselves,1
the mechanic knew the customer injured himself,0,the mechanic knew the customer injured themselves,0
the mechanic knew the customer injured herself,0,the mechanic knew the customer injured themselves,1
the mechanic knew the customer congratulated himself,0,the mechanic knew the customer congratulated themselves,0
the mechanic knew the customer congratulated herself,0,the mechanic knew the customer congratulated themselves,1
the mechanic knew the customer embarrassed himself,0,the mechanic knew the customer embarrassed themselves,0
the mechanic knew the customer embarrassed herself,0,the mechanic knew the customer embarrassed themselves,1
the mechanic knew the customer disguised himself,0,the mechanic knew the customer disguised themselves,0
the mechanic knew the customer disguised herself,0,the mechanic knew the customer disguised themselves,1
the mechanic knew the customer hated himself,0,the mechanic knew the customer hated themselves,0
the mechanic knew the customer hated herself,0,the mechanic knew the customer hated themselves,1
the mechanic knew the customer doubted himself,0,the mechanic knew the customer doubted themselves,0
the mechanic knew the customer doubted herself,0,the mechanic knew the customer doubted themselves,1
the mechanic knew the officer hurt himself,0,the mechanic knew the officer hurt themselves,0
the mechanic knew the officer hurt herself,0,the mechanic knew the officer hurt themselves,1
the mechanic knew the officer injured himself,0,the mechanic knew the officer injured themselves,0
the mechanic knew the officer injured herself,0,the mechanic knew the officer injured themselves,1
the mechanic knew the officer congratulated himself,0,the mechanic knew the officer congratulated themselves,0
the mechanic knew the officer congratulated herself,0,the mechanic knew the officer congratulated themselves,1
the mechanic knew the officer embarrassed himself,0,the mechanic knew the officer embarrassed themselves,0
the mechanic knew the officer embarrassed herself,0,the mechanic knew the officer embarrassed themselves,1
