,data,labels,counterfactual_data,var_0,counter_var_0,var_1,counter_var_1,aux_0,counter_aux_0,CF_Label_0,CF_FN_0,CF_Label_1,CF_FN_1
40,114 30 94 96 113,4,114 76 35 37 113,1,18,3,6,2,12,7,var_0 counter_var_1 +,21,counter_var_0 var_1 +
41,114 12 32 1 113,13,114 39 40 76 113,12,10,1,14,9,17,26,var_0 counter_var_1 +,11,counter_var_0 var_1 +
42,114 70 48 95 113,14,114 9 20 50 113,12,9,2,19,2,20,31,var_0 counter_var_1 +,11,counter_var_0 var_1 +
43,114 88 28 55 113,25,114 6 23 98 113,1,6,24,5,5,0,6,var_0 counter_var_1 +,30,counter_var_0 var_1 +
44,114 25 88 16 113,41,114 5 36 19 113,25,5,16,19,19,13,44,var_0 counter_var_1 +,21,counter_var_0 var_1 +
45,114 75 112 13 113,30,114 25 14 33 113,17,25,13,2,20,14,19,var_0 counter_var_1 +,38,counter_var_0 var_1 +
46,114 24 71 100 113,31,114 97 0 38 113,24,10,7,7,2,0,31,var_0 counter_var_1 +,17,counter_var_0 var_1 +
47,114 72 73 73 113,25,114 107 101 39 113,14,20,11,8,4,9,22,var_0 counter_var_1 +,31,counter_var_0 var_1 +
48,114 74 47 93 113,16,114 55 80 48 113,16,26,0,17,1,11,33,var_0 counter_var_1 +,26,counter_var_0 var_1 +
49,114 10 13 18 113,28,114 55 83 3 113,10,26,18,3,13,14,13,var_0 counter_var_1 +,44,counter_var_0 var_1 +
50,114 107 19 15 113,35,114 106 111 79 113,20,19,15,17,19,19,37,var_0 counter_var_1 +,34,counter_var_0 var_1 +
51,114 88 42 46 113,16,114 60 76 54 113,1,2,15,23,19,7,24,var_0 counter_var_1 +,17,counter_var_0 var_1 +
52,114 14 30 99 113,20,114 69 61 89 113,14,11,6,27,7,15,41,var_0 counter_var_1 +,17,counter_var_0 var_1 +
53,114 98 51 42 113,22,114 39 21 49 113,11,10,11,18,5,21,29,var_0 counter_var_1 +,21,counter_var_0 var_1 +
54,114 43 111 79 113,31,114 39 43 40 113,14,10,17,9,19,20,23,var_0 counter_var_1 +,27,counter_var_0 var_1 +
55,114 82 19 15 113,39,114 33 68 71 113,24,4,15,9,19,22,33,var_0 counter_var_1 +,19,counter_var_0 var_1 +
56,114 73 76 54 113,38,114 40 22 12 113,15,11,23,12,7,22,27,var_0 counter_var_1 +,34,counter_var_0 var_1 +
57,114 42 44 41 113,23,114 96 47 93 113,13,9,10,0,21,1,13,var_0 counter_var_1 +,19,counter_var_0 var_1 +
58,114 98 49 32 113,12,114 18 75 8 113,11,18,1,8,3,6,19,var_0 counter_var_1 +,19,counter_var_0 var_1 +
59,114 74 72 81 113,35,114 90 16 21 113,16,3,19,21,3,16,37,var_0 counter_var_1 +,22,counter_var_0 var_1 +
60,114 71 22 12 113,25,114 76 96 7 113,13,18,12,7,22,4,20,var_0 counter_var_1 +,30,counter_var_0 var_1 +
61,114 43 73 73 113,25,114 90 42 46 113,14,3,11,15,4,19,29,var_0 counter_var_1 +,14,counter_var_0 var_1 +
62,114 107 39 36 113,25,114 45 17 112 113,20,16,5,19,16,17,39,var_0 counter_var_1 +,21,counter_var_0 var_1 +
63,114 11 2 84 113,33,114 29 60 63 113,11,0,22,1,2,14,12,var_0 counter_var_1 +,22,counter_var_0 var_1 +
64,114 8 95 109 113,24,114 99 55 10 113,8,12,16,10,3,9,18,var_0 counter_var_1 +,28,counter_var_0 var_1 +
65,114 32 92 51 113,23,114 17 72 81 113,3,17,20,19,0,3,22,var_0 counter_var_1 +,37,counter_var_0 var_1 +
66,114 75 72 81 113,36,114 53 44 41 113,17,24,19,10,3,21,27,var_0 counter_var_1 +,43,counter_var_0 var_1 +
67,114 57 62 43 113,40,114 32 63 26 113,28,3,12,26,16,17,54,var_0 counter_var_1 +,15,counter_var_0 var_1 +
68,114 98 104 4 113,15,114 10 67 80 113,11,10,4,18,12,21,29,var_0 counter_var_1 +,14,counter_var_0 var_1 +
69,114 10 69 104 113,21,114 78 109 65 113,10,20,11,3,0,17,13,var_0 counter_var_1 +,31,counter_var_0 var_1 +
70,114 107 32 1 113,21,114 63 39 36 113,20,5,1,5,9,16,25,var_0 counter_var_1 +,6,counter_var_0 var_1 +
71,114 103 18 72 113,26,114 22 48 95 113,16,22,10,2,18,2,18,var_0 counter_var_1 +,32,counter_var_0 var_1 +
72,114 36 88 16 113,23,114 39 56 5 113,7,10,16,5,19,10,12,var_0 counter_var_1 +,26,counter_var_0 var_1 +
73,114 85 26 25 113,52,114 12 38 59 113,27,12,25,28,3,15,55,var_0 counter_var_1 +,37,counter_var_0 var_1 +
74,114 38 45 103 113,19,114 17 82 90 113,9,17,10,28,22,13,37,var_0 counter_var_1 +,27,counter_var_0 var_1 +
75,114 6 44 41 113,16,114 44 110 108 113,6,15,10,15,21,18,21,var_0 counter_var_1 +,25,counter_var_0 var_1 +
76,114 26 90 102 113,35,114 25 46 87 113,26,25,9,25,21,0,51,var_0 counter_var_1 +,34,counter_var_0 var_1 +
77,114 43 112 13 113,27,114 60 25 20 113,14,2,13,20,20,2,34,var_0 counter_var_1 +,15,counter_var_0 var_1 +
78,114 68 64 66 113,14,114 71 101 39 113,10,13,4,8,18,9,18,var_0 counter_var_1 +,17,counter_var_0 var_1 +
79,114 12 33 14 113,26,114 75 51 42 113,12,17,14,11,10,5,23,var_0 counter_var_1 +,31,counter_var_0 var_1 +
80,114 51 50 27 113,49,114 23 9 70 113,22,23,27,8,4,9,30,var_0 counter_var_1 +,50,counter_var_0 var_1 +
81,114 55 111 79 113,43,114 0 72 81 113,26,0,17,19,19,3,45,var_0 counter_var_1 +,17,counter_var_0 var_1 +
82,114 111 94 96 113,27,114 10 93 105 113,24,10,3,12,2,1,36,var_0 counter_var_1 +,13,counter_var_0 var_1 +
83,114 30 102 45 113,15,114 78 28 55 113,1,20,14,24,10,5,25,var_0 counter_var_1 +,34,counter_var_0 var_1 +
84,114 100 79 58 113,40,114 84 44 41 113,13,26,27,10,10,21,23,var_0 counter_var_1 +,53,counter_var_0 var_1 +
85,114 69 36 19 113,30,114 29 98 74 113,11,0,19,12,13,6,23,var_0 counter_var_1 +,19,counter_var_0 var_1 +
86,114 3 36 19 113,22,114 27 76 54 113,3,27,19,23,13,7,26,var_0 counter_var_1 +,46,counter_var_0 var_1 +
87,114 100 55 10 113,23,114 109 27 101 113,13,22,10,8,9,4,21,var_0 counter_var_1 +,32,counter_var_0 var_1 +
88,114 8 6 64 113,10,114 95 65 67 113,8,8,2,5,6,19,13,var_0 counter_var_1 +,10,counter_var_0 var_1 +
89,114 54 103 61 113,55,114 79 20 50 113,25,21,30,19,11,20,44,var_0 counter_var_1 +,51,counter_var_0 var_1 +
90,114 91 10 11 113,15,114 36 20 50 113,4,7,11,19,10,20,23,var_0 counter_var_1 +,18,counter_var_0 var_1 +
91,114 79 92 51 113,41,114 20 98 74 113,21,20,20,12,0,6,33,var_0 counter_var_1 +,40,counter_var_0 var_1 +
92,114 46 29 17 113,34,114 66 90 102 113,17,8,17,9,6,21,26,var_0 counter_var_1 +,25,counter_var_0 var_1 +
93,114 12 81 52 113,33,114 2 6 64 113,12,2,21,2,12,6,14,var_0 counter_var_1 +,23,counter_var_0 var_1 +
94,114 26 8 57 113,52,114 45 97 23 113,26,16,26,23,8,5,49,var_0 counter_var_1 +,42,counter_var_0 var_1 +
95,114 13 56 5 113,18,114 12 107 28 113,13,12,5,28,10,15,41,var_0 counter_var_1 +,17,counter_var_0 var_1 +
96,114 4 110 108 113,19,114 57 56 5 113,4,28,15,5,18,10,9,var_0 counter_var_1 +,43,counter_var_0 var_1 +
97,114 94 87 60 113,36,114 2 16 21 113,7,2,29,21,18,16,28,var_0 counter_var_1 +,31,counter_var_0 var_1 +
98,114 82 40 76 113,38,114 77 4 78 113,24,19,14,16,17,4,40,var_0 counter_var_1 +,33,counter_var_0 var_1 +
99,114 29 17 112 113,19,114 21 112 13 113,0,21,19,13,17,20,13,var_0 counter_var_1 +,40,counter_var_0 var_1 +
100,114 74 45 103 113,26,114 84 67 80 113,16,26,10,18,22,21,34,var_0 counter_var_1 +,36,counter_var_0 var_1 +
101,114 16 87 60 113,45,114 55 110 108 113,16,26,29,15,18,18,31,var_0 counter_var_1 +,55,counter_var_0 var_1 +
102,114 14 24 35 113,18,114 20 108 85 113,14,20,4,23,1,16,37,var_0 counter_var_1 +,24,counter_var_0 var_1 +
103,114 56 12 83 113,48,114 91 51 42 113,27,4,21,11,12,5,38,var_0 counter_var_1 +,25,counter_var_0 var_1 +
104,114 101 112 13 113,27,114 97 58 2 113,14,10,13,2,20,12,16,var_0 counter_var_1 +,23,counter_var_0 var_1 +
105,114 13 87 60 113,42,114 72 112 13 113,13,14,29,13,18,20,26,var_0 counter_var_1 +,43,counter_var_0 var_1 +
106,114 41 60 63 113,13,114 2 64 66 113,12,2,1,4,14,18,16,var_0 counter_var_1 +,3,counter_var_0 var_1 +
107,114 17 84 44 113,30,114 11 82 90 113,17,11,13,28,15,13,45,var_0 counter_var_1 +,24,counter_var_0 var_1 +
108,114 40 0 38 113,18,114 107 58 2 113,11,20,7,2,0,12,13,var_0 counter_var_1 +,27,counter_var_0 var_1 +
109,114 96 52 9 113,18,114 66 1 0 113,9,8,9,0,6,1,9,var_0 counter_var_1 +,17,counter_var_0 var_1 +
110,114 101 87 60 113,43,114 101 8 57 113,14,14,29,26,18,8,40,var_0 counter_var_1 +,43,counter_var_0 var_1 +
111,114 99 17 112 113,31,114 44 103 61 113,12,15,19,30,17,11,42,var_0 counter_var_1 +,34,counter_var_0 var_1 +
112,114 36 4 78 113,23,114 59 22 12 113,7,1,16,12,4,22,19,var_0 counter_var_1 +,17,counter_var_0 var_1 +
113,114 66 33 14 113,22,114 90 92 51 113,8,3,14,20,10,0,28,var_0 counter_var_1 +,17,counter_var_0 var_1 +
114,114 67 79 58 113,36,114 39 9 70 113,9,10,27,8,10,9,17,var_0 counter_var_1 +,37,counter_var_0 var_1 +
115,114 22 30 99 113,28,114 56 22 12 113,22,27,6,12,7,22,34,var_0 counter_var_1 +,33,counter_var_0 var_1 +
116,114 96 14 33 113,11,114 22 85 31 113,9,22,2,0,14,16,9,var_0 counter_var_1 +,24,counter_var_0 var_1 +
117,114 66 26 25 113,33,114 81 27 101 113,8,23,25,8,3,4,16,var_0 counter_var_1 +,48,counter_var_0 var_1 +
118,114 90 7 22 113,25,114 86 112 13 113,3,28,22,13,7,20,16,var_0 counter_var_1 +,50,counter_var_0 var_1 +
119,114 97 11 6 113,16,114 46 84 44 113,10,17,6,13,11,15,23,var_0 counter_var_1 +,23,counter_var_0 var_1 +
120,114 31 31 82 113,22,114 88 76 54 113,2,1,20,23,8,7,25,var_0 counter_var_1 +,21,counter_var_0 var_1 +
121,114 77 8 57 113,45,114 56 85 31 113,19,27,26,0,8,16,19,var_0 counter_var_1 +,53,counter_var_0 var_1 +
122,114 64 4 78 113,22,114 19 88 16 113,6,19,16,16,4,19,22,var_0 counter_var_1 +,35,counter_var_0 var_1 +
123,114 94 22 12 113,19,114 8 2 84 113,7,8,12,22,22,2,29,var_0 counter_var_1 +,20,counter_var_0 var_1 +
124,114 50 86 94 113,22,114 60 85 31 113,21,2,1,0,17,16,21,var_0 counter_var_1 +,3,counter_var_0 var_1 +
125,114 14 60 63 113,15,114 61 44 41 113,14,3,1,10,14,21,24,var_0 counter_var_1 +,4,counter_var_0 var_1 +
126,114 63 67 80 113,23,114 110 57 97 113,5,23,18,4,21,11,9,var_0 counter_var_1 +,41,counter_var_0 var_1 +
127,114 76 112 13 113,31,114 19 80 48 113,18,19,13,17,20,11,35,var_0 counter_var_1 +,32,counter_var_0 var_1 +
128,114 35 35 37 113,12,114 74 40 76 113,6,16,6,14,12,17,20,var_0 counter_var_1 +,22,counter_var_0 var_1 +
129,114 21 32 1 113,22,114 6 18 72 113,21,6,1,10,9,18,31,var_0 counter_var_1 +,7,counter_var_0 var_1 +
130,114 56 103 61 113,57,114 65 23 98 113,27,7,30,5,11,0,32,var_0 counter_var_1 +,37,counter_var_0 var_1 +
131,114 57 20 50 113,47,114 7 73 73 113,28,7,19,11,20,4,39,var_0 counter_var_1 +,26,counter_var_0 var_1 +
132,114 73 34 47 113,31,114 55 107 28 113,15,26,16,28,11,15,43,var_0 counter_var_1 +,42,counter_var_0 var_1 +
133,114 3 26 25 113,28,114 6 86 94 113,3,6,25,1,3,17,4,var_0 counter_var_1 +,31,counter_var_0 var_1 +
134,114 86 105 111 113,46,114 11 56 5 113,28,11,18,5,13,10,33,var_0 counter_var_1 +,29,counter_var_0 var_1 +
135,114 47 72 81 113,37,114 58 64 66 113,18,0,19,4,3,18,22,var_0 counter_var_1 +,19,counter_var_0 var_1 +
136,114 111 109 65 113,27,114 53 7 22 113,24,24,3,22,17,7,46,var_0 counter_var_1 +,27,counter_var_0 var_1 +
137,114 107 77 69 113,27,114 46 56 5 113,20,17,7,5,8,10,25,var_0 counter_var_1 +,24,counter_var_0 var_1 +
138,114 41 2 84 113,34,114 54 62 43 113,12,25,22,12,2,16,24,var_0 counter_var_1 +,47,counter_var_0 var_1 +
139,114 9 17 112 113,28,114 39 51 42 113,9,10,19,11,17,5,20,var_0 counter_var_1 +,29,counter_var_0 var_1 +
140,114 8 50 27 113,35,114 103 82 90 113,8,16,27,28,4,13,36,var_0 counter_var_1 +,43,counter_var_0 var_1 +
141,114 25 68 71 113,34,114 3 34 47 113,25,3,9,16,22,11,41,var_0 counter_var_1 +,12,counter_var_0 var_1 +
142,114 112 24 35 113,29,114 100 45 103 113,25,13,4,10,1,22,35,var_0 counter_var_1 +,17,counter_var_0 var_1 +
143,114 108 46 87 113,46,114 72 19 15 113,21,14,25,15,0,19,36,var_0 counter_var_1 +,39,counter_var_0 var_1 +
144,114 69 44 41 113,21,114 93 77 69 113,11,6,10,7,21,8,18,var_0 counter_var_1 +,16,counter_var_0 var_1 +
145,114 48 21 49 113,37,114 100 108 85 113,19,13,18,23,21,16,42,var_0 counter_var_1 +,31,counter_var_0 var_1 +
146,114 2 101 39 113,10,114 18 18 72 113,2,18,8,10,9,18,12,var_0 counter_var_1 +,26,counter_var_0 var_1 +
147,114 104 14 33 113,19,114 5 82 90 113,17,5,2,28,14,13,45,var_0 counter_var_1 +,7,counter_var_0 var_1 +
148,114 38 108 85 113,32,114 102 93 105 113,9,15,23,12,16,1,21,var_0 counter_var_1 +,38,counter_var_0 var_1 +
149,114 15 72 81 113,34,114 8 99 92 113,15,8,19,30,3,7,45,var_0 counter_var_1 +,27,counter_var_0 var_1 +
150,114 60 22 12 113,14,114 90 55 10 113,2,3,12,10,22,9,12,var_0 counter_var_1 +,15,counter_var_0 var_1 +
151,114 98 17 112 113,30,114 89 29 17 113,11,2,19,17,17,6,28,var_0 counter_var_1 +,21,counter_var_0 var_1 +
152,114 58 91 106 113,13,114 95 69 104 113,0,8,13,11,22,0,11,var_0 counter_var_1 +,21,counter_var_0 var_1 +
153,114 64 2 84 113,28,114 76 45 103 113,6,18,22,10,2,22,16,var_0 counter_var_1 +,40,counter_var_0 var_1 +
154,114 2 74 91 113,31,114 86 68 71 113,2,28,29,9,5,22,11,var_0 counter_var_1 +,57,counter_var_0 var_1 +
155,114 71 47 93 113,13,114 109 69 104 113,13,22,0,11,1,0,24,var_0 counter_var_1 +,22,counter_var_0 var_1 +
156,114 45 49 32 113,17,114 33 16 21 113,16,4,1,21,3,16,37,var_0 counter_var_1 +,5,counter_var_0 var_1 +
157,114 21 81 52 113,42,114 57 64 66 113,21,28,21,4,12,18,25,var_0 counter_var_1 +,49,counter_var_0 var_1 +
158,114 40 96 7 113,18,114 47 81 52 113,11,18,7,21,4,12,32,var_0 counter_var_1 +,25,counter_var_0 var_1 +
159,114 85 84 44 113,40,114 94 39 36 113,27,7,13,5,15,16,32,var_0 counter_var_1 +,20,counter_var_0 var_1 +
160,114 50 81 52 113,42,114 112 109 65 113,21,25,21,3,12,17,24,var_0 counter_var_1 +,46,counter_var_0 var_1 +
161,114 2 56 5 113,7,114 45 35 37 113,2,16,5,6,10,12,8,var_0 counter_var_1 +,21,counter_var_0 var_1 +
162,114 88 94 96 113,4,114 55 55 10 113,1,26,3,10,2,9,11,var_0 counter_var_1 +,29,counter_var_0 var_1 +
163,114 103 95 109 113,32,114 33 105 111 113,16,4,16,18,3,13,34,var_0 counter_var_1 +,20,counter_var_0 var_1 +
164,114 73 9 70 113,23,114 58 4 78 113,15,0,8,16,9,4,31,var_0 counter_var_1 +,8,counter_var_0 var_1 +
165,114 3 49 32 113,4,114 53 26 25 113,3,24,1,25,3,3,28,var_0 counter_var_1 +,25,counter_var_0 var_1 +
166,114 88 4 78 113,17,114 61 82 90 113,1,3,16,28,4,13,29,var_0 counter_var_1 +,19,counter_var_0 var_1 +
167,114 9 9 70 113,17,114 80 110 108 113,9,22,8,15,9,18,24,var_0 counter_var_1 +,30,counter_var_0 var_1 +
168,114 44 41 34 113,18,114 3 63 26 113,15,3,3,26,18,17,41,var_0 counter_var_1 +,6,counter_var_0 var_1 +
169,114 21 37 110 113,38,114 49 27 101 113,21,20,17,8,14,4,29,var_0 counter_var_1 +,37,counter_var_0 var_1 +
170,114 37 64 66 113,12,114 60 70 77 113,8,2,4,15,18,1,23,var_0 counter_var_1 +,6,counter_var_0 var_1 +
171,114 29 80 48 113,17,114 67 111 79 113,0,9,17,17,11,19,17,var_0 counter_var_1 +,26,counter_var_0 var_1 +
172,114 85 92 51 113,47,114 57 29 17 113,27,28,20,17,0,6,44,var_0 counter_var_1 +,48,counter_var_0 var_1 +
173,114 97 33 14 113,24,114 112 27 101 113,10,25,14,8,10,4,18,var_0 counter_var_1 +,39,counter_var_0 var_1 +
174,114 37 53 68 113,14,114 60 11 6 113,8,2,6,6,7,11,14,var_0 counter_var_1 +,8,counter_var_0 var_1 +
175,114 48 51 42 113,30,114 12 32 1 113,19,12,11,1,5,9,20,var_0 counter_var_1 +,23,counter_var_0 var_1 +
176,114 27 97 23 113,50,114 38 15 62 113,27,9,23,0,5,15,27,var_0 counter_var_1 +,32,counter_var_0 var_1 +
177,114 58 20 50 113,19,114 45 106 56 113,0,16,19,25,20,14,25,var_0 counter_var_1 +,35,counter_var_0 var_1 +
178,114 109 59 30 113,52,114 40 64 66 113,22,11,30,4,13,18,26,var_0 counter_var_1 +,41,counter_var_0 var_1 +
179,114 8 9 70 113,16,114 55 89 29 113,8,26,8,29,9,20,37,var_0 counter_var_1 +,34,counter_var_0 var_1 +
180,114 91 88 16 113,20,114 85 32 1 113,4,27,16,1,19,9,5,var_0 counter_var_1 +,43,counter_var_0 var_1 +
181,114 34 15 62 113,5,114 11 61 89 113,5,11,0,27,15,15,32,var_0 counter_var_1 +,11,counter_var_0 var_1 +
182,114 98 39 36 113,16,114 97 84 44 113,11,10,5,13,16,15,24,var_0 counter_var_1 +,15,counter_var_0 var_1 +
183,114 90 70 77 113,18,114 63 50 27 113,3,5,15,27,1,4,30,var_0 counter_var_1 +,20,counter_var_0 var_1 +
184,114 69 73 73 113,22,114 85 43 40 113,11,27,11,9,4,20,20,var_0 counter_var_1 +,38,counter_var_0 var_1 +
185,114 104 38 59 113,45,114 70 96 7 113,17,12,28,7,15,4,24,var_0 counter_var_1 +,40,counter_var_0 var_1 +
186,114 72 81 52 113,35,114 38 107 28 113,14,9,21,28,12,15,42,var_0 counter_var_1 +,30,counter_var_0 var_1 +
187,114 64 33 14 113,20,114 89 40 76 113,6,2,14,14,10,17,20,var_0 counter_var_1 +,16,counter_var_0 var_1 +
188,114 102 37 110 113,32,114 30 102 45 113,15,1,17,14,14,10,29,var_0 counter_var_1 +,18,counter_var_0 var_1 +
189,114 54 58 2 113,27,114 0 61 89 113,25,0,2,27,12,15,52,var_0 counter_var_1 +,2,counter_var_0 var_1 +
190,114 63 18 72 113,15,114 64 3 86 113,5,6,10,24,18,3,29,var_0 counter_var_1 +,16,counter_var_0 var_1 +
191,114 79 42 46 113,36,114 84 100 75 113,21,26,15,13,19,8,34,var_0 counter_var_1 +,41,counter_var_0 var_1 +
192,114 29 19 15 113,15,114 82 80 48 113,0,24,15,17,19,11,17,var_0 counter_var_1 +,39,counter_var_0 var_1 +
193,114 45 65 67 113,21,114 82 73 73 113,16,24,5,11,19,4,27,var_0 counter_var_1 +,29,counter_var_0 var_1 +
194,114 79 31 82 113,41,114 34 36 19 113,21,5,20,19,8,13,40,var_0 counter_var_1 +,25,counter_var_0 var_1 +
195,114 63 111 79 113,22,114 28 97 23 113,5,28,17,23,19,5,28,var_0 counter_var_1 +,45,counter_var_0 var_1 +
196,114 109 93 105 113,34,114 34 56 5 113,22,5,12,5,1,10,27,var_0 counter_var_1 +,17,counter_var_0 var_1 +
197,114 38 69 104 113,20,114 10 19 15 113,9,10,11,15,0,19,24,var_0 counter_var_1 +,21,counter_var_0 var_1 +
198,114 18 22 12 113,30,114 33 0 38 113,18,4,12,7,22,0,25,var_0 counter_var_1 +,16,counter_var_0 var_1 +
199,114 57 10 11 113,39,114 111 95 109 113,28,24,11,16,10,3,44,var_0 counter_var_1 +,35,counter_var_0 var_1 +
200,114 111 67 80 113,42,114 73 74 91 113,24,15,18,29,21,5,53,var_0 counter_var_1 +,33,counter_var_0 var_1 +
201,114 107 7 22 113,42,114 99 14 33 113,20,12,22,2,7,14,22,var_0 counter_var_1 +,34,counter_var_0 var_1 +
202,114 14 96 7 113,21,114 99 3 86 113,14,12,7,24,4,3,38,var_0 counter_var_1 +,19,counter_var_0 var_1 +
203,114 44 56 5 113,20,114 3 42 46 113,15,3,5,15,10,19,30,var_0 counter_var_1 +,8,counter_var_0 var_1 +
204,114 97 101 39 113,18,114 31 112 13 113,10,2,8,13,9,20,23,var_0 counter_var_1 +,10,counter_var_0 var_1 +
205,114 8 99 92 113,38,114 84 102 45 113,8,26,30,14,7,10,22,var_0 counter_var_1 +,56,counter_var_0 var_1 +
206,114 17 74 91 113,46,114 32 34 47 113,17,3,29,16,5,11,33,var_0 counter_var_1 +,32,counter_var_0 var_1 +
207,114 112 96 7 113,32,114 74 41 34 113,25,16,7,3,4,18,28,var_0 counter_var_1 +,23,counter_var_0 var_1 +
208,114 101 55 10 113,24,114 92 18 72 113,14,5,10,10,9,18,24,var_0 counter_var_1 +,15,counter_var_0 var_1 +
