sentence,labels,object labels
the consultant across from the parent,0,0
the pilot near the parent,0,0
the pilot across from the executive,0,0
the pilot behind the executive,0,0
the game from the executive,0,0
the pilot behind the dancer,0,0
the surgeon to the side of the minister,0,0
the officer near the dancer,0,0
the pilot to the side of the taxi driver,0,0
the teacher in front of the minister,0,0
the manager near the minister,0,0
the customer next to the chef,0,0
the teacher behind the taxi driver,0,0
the manager in front of the executive,0,0
the book by the parent,0,0
the manager near the guard,0,0
the pilot near the minister,0,0
the manager in front of the skater,0,0
the surgeon to the side of the guard,0,0
the customer across from the taxi driver,0,0
the pilot across from the chef,0,0
the consultant to the side of the minister,0,0
the author near the chef,0,0
the manager to the side of the dancer,0,0
the officer in front of the chef,0,0
the teacher next to the dancer,0,0
the teacher near the architect,0,0
the movie by the dancer,0,0
the pilot across from the taxi driver,0,0
the pilot in front of the executive,0,0
the customer across from the minister,0,0
the teacher to the side of the dancer,0,0
the teacher to the side of the guard,0,0
the teacher in front of the architect,0,0
the picture by the dancer,0,0
the consultant near the parent,0,0
the pilot in front of the chef,0,0
the surgeon next to the minister,0,0
the surgeon near the skater,0,0
the senator in front of the parent,0,0
the senator behind the executive,0,0
the senator across from the skater,0,0
the customer to the side of the skater,0,0
the farmer next to the assistant,0,0
the teacher near the chef,0,0
the consultant across from the executive,0,0
the customer in front of the parent,0,0
the farmer behind the skater,0,0
the farmer behind the executive,0,0
the officer next to the architect,0,0
the farmer near the minister,0,0
the officer next to the assistant,0,0
the customer behind the assistant,0,0
the novel from the guard,0,0
the pilot behind the architect,0,0
the novel by the architect,0,0
the customer next to the architect,0,0
the senator to the side of the minister,0,0
the farmer next to the taxi driver,0,0
the farmer to the side of the executive,0,0
the novel from the dancer,0,0
the surgeon near the architect,0,0
the farmer behind the dancer,0,0
the farmer in front of the dancer,0,0
the book from the skater,0,0
the senator next to the parent,0,0
the game from the parent,0,0
the manager next to the dancer,0,0
the surgeon behind the architect,0,0
the author in front of the architect,0,0
the teacher next to the guard,0,0
the officer to the side of the parent,0,0
the novel from the assistant,0,0
the show from the minister,0,0
the teacher in front of the taxi driver,0,0
the author to the side of the executive,0,0
the song from the skater,0,0
the poem from the guard,0,0
the officer near the taxi driver,0,0
the customer in front of the dancer,0,0
the game by the skater,0,0
the senator next to the skater,0,0
the novel from the parent,0,0
the senator in front of the minister,0,0
the senator to the side of the taxi driver,0,0
the pilot to the side of the chef,0,0
the customer behind the chef,0,0
the surgeon near the parent,0,0
the show by the parent,0,0
the customer across from the chef,0,0
the surgeon behind the assistant,0,0
the movie from the dancer,0,0
the game by the guard,0,0
the book from the taxi driver,0,0
the officer in front of the minister,0,0
the officer near the assistant,0,0
the farmer to the side of the assistant,0,0
the senator near the parent,0,0
the customer in front of the architect,0,0
the game from the assistant,0,0
the surgeon to the side of the parent,0,0
the game by the taxi driver,0,0
the farmer across from the dancer,0,0
the farmer to the side of the dancer,0,0
the game from the guard,0,0
the song by the assistant,0,0
the picture from the skater,0,0
the officer behind the executive,0,0
the author behind the executive,0,0
the manager behind the minister,0,0
the surgeon in front of the executive,0,0
the pilot behind the assistant,0,0
the pilot to the side of the guard,0,0
the surgeon near the taxi driver,0,0
the pilot to the side of the minister,0,0
the surgeon in front of the dancer,0,0
the author next to the guard,0,0
the game from the dancer,0,0
the teacher across from the parent,0,0
the manager behind the chef,0,0
the manager across from the skater,0,0
the farmer across from the minister,0,0
the consultant across from the architect,0,0
the picture from the executive,0,0
the officer in front of the executive,0,0
the surgeon near the dancer,0,0
the teacher across from the assistant,0,0
the author next to the architect,0,0
the surgeon next to the guard,0,0
the author in front of the skater,0,0
the poem by the minister,0,0
the consultant near the chef,0,0
the officer to the side of the guard,0,0
the painting by the parent,0,0
the farmer next to the minister,0,0
the manager in front of the chef,0,0
the farmer across from the skater,0,0
the surgeon next to the architect,0,0
the song from the executive,0,0
the farmer in front of the assistant,0,0
the author near the taxi driver,0,0
the farmer across from the architect,0,0
the senator behind the chef,0,0
the manager to the side of the executive,0,0
the author to the side of the guard,0,0
the poem from the dancer,0,0
the show by the architect,0,0
the author across from the minister,0,0
the customer behind the guard,0,0
the author across from the assistant,0,0
the picture by the skater,0,0
the surgeon across from the chef,0,0
the author to the side of the minister,0,0
the officer near the chef,0,0
the farmer behind the taxi driver,0,0
the song from the assistant,0,0
the game by the parent,0,0
the surgeon behind the minister,0,0
the consultant next to the taxi driver,0,0
the manager to the side of the guard,0,0
the pilot next to the executive,0,0
the senator behind the skater,0,0
the movie from the architect,0,0
the customer near the executive,0,0
the surgeon near the assistant,0,0
the pilot across from the parent,0,0
the teacher in front of the dancer,0,0
the painting by the minister,0,0
the show from the parent,0,0
the author next to the minister,0,0
the officer near the parent,0,0
the book by the executive,0,0
the surgeon across from the guard,0,0
the novel from the minister,0,0
the pilot in front of the minister,0,0
the manager across from the chef,0,0
the teacher across from the dancer,0,0
the customer next to the guard,0,0
the surgeon behind the executive,0,0
the senator in front of the chef,0,0
the movie from the minister,0,0
the show by the skater,0,0
the senator behind the guard,0,0
the painting from the assistant,0,0
the painting by the executive,0,0
the song by the guard,0,0
the consultant across from the assistant,0,0
the picture by the executive,0,0
the senator next to the guard,0,0
the consultant next to the guard,0,0
the author near the assistant,0,0
the senator in front of the architect,0,0
the manager behind the guard,0,0
the farmer to the side of the skater,0,0
the show from the taxi driver,0,0
the senator near the guard,0,0
the farmer behind the assistant,0,0
the officer behind the minister,0,0
the book by the chef,0,0
the poem by the assistant,0,0
the farmer across from the chef,0,0
the author next to the dancer,0,0
the farmer near the taxi driver,0,0
the game by the assistant,0,0
the consultant in front of the architect,0,0
the pilot behind the chef,0,0
the officer next to the dancer,0,0
the customer next to the executive,0,0
the officer to the side of the taxi driver,0,0
the song from the guard,0,0
the surgeon to the side of the dancer,0,0
the author in front of the guard,0,0
the customer in front of the minister,0,0
the farmer to the side of the parent,0,0
the consultant across from the skater,0,0
the poem by the dancer,0,0
the author in front of the executive,0,0
the show by the minister,0,0
the customer next to the minister,0,0
the game from the chef,0,0
the senator near the dancer,0,0
the senator across from the architect,0,0
the pilot across from the skater,0,0
the teacher in front of the skater,0,0
the teacher next to the skater,0,0
the customer in front of the guard,0,0
the teacher to the side of the parent,0,0
the teacher across from the skater,0,0
the pilot to the side of the skater,0,0
the surgeon next to the executive,0,0
the consultant near the dancer,0,0
the movie by the skater,0,0
the senator near the skater,0,0
the pilot to the side of the assistant,0,0
the show from the guard,0,0
the poem by the architect,0,0
the surgeon in front of the architect,0,0
the farmer near the dancer,0,0
the poem from the parent,0,0
the author behind the assistant,0,0
the farmer in front of the skater,0,0
the consultant behind the assistant,0,0
the teacher next to the architect,0,0
the teacher to the side of the executive,0,0
the painting from the chef,0,0
the senator near the executive,0,0
the manager next to the taxi driver,0,0
the officer to the side of the chef,0,0
the book from the executive,0,0
the senator near the taxi driver,0,0
the game by the architect,0,0
the customer in front of the skater,0,0
the teacher to the side of the architect,0,0
the novel from the chef,0,0
the show from the skater,0,0
the book by the architect,0,0
the author across from the taxi driver,0,0
the farmer near the parent,0,0
the consultant next to the skater,0,0
the teacher behind the architect,0,0
the show by the assistant,0,0
the officer across from the executive,0,0
the customer across from the parent,0,0
the senator next to the chef,0,0
the game from the minister,0,0
the poem from the minister,0,0
the customer to the side of the taxi driver,0,0
the novel from the executive,0,0
the novel by the executive,0,0
the customer across from the skater,0,0
the senator across from the taxi driver,0,0
the consultant behind the architect,0,0
the customer near the dancer,0,0
the consultant in front of the minister,0,0
the consultant across from the guard,0,0
the customer next to the dancer,0,0
the surgeon in front of the guard,0,0
the consultant to the side of the executive,0,0
the pilot next to the assistant,0,0
the customer to the side of the parent,0,0
the consultant near the minister,0,0
the show by the guard,0,0
the poem by the skater,0,0
the painting from the minister,0,0
the officer in front of the guard,0,0
the manager next to the assistant,0,0
the author to the side of the parent,0,0
the painting from the skater,0,0
the officer across from the chef,0,0
the pilot to the side of the taxi drivers,0,1
the author near the assistants,0,1
the customer near the architects,0,1
the officer near the taxi drivers,0,1
the senator near the ministers,0,1
the consultant in front of the dancers,0,1
the novel by the executives,0,1
the teacher near the executives,0,1
the farmer behind the chefs,0,1
the customer in front of the dancers,0,1
the movie from the assistants,0,1
the consultant to the side of the guards,0,1
the surgeon across from the assistants,0,1
the manager to the side of the parents,0,1
the surgeon to the side of the chefs,0,1
the picture from the ministers,0,1
the pilot behind the assistants,0,1
the pilot near the skaters,0,1
the customer to the side of the parents,0,1
the pilot in front of the parents,0,1
the teacher across from the parents,0,1
the consultant to the side of the chefs,0,1
the author in front of the dancers,0,1
the author to the side of the dancers,0,1
the manager in front of the ministers,0,1
the pilot in front of the architects,0,1
the farmer near the architects,0,1
the officer near the assistants,0,1
the teacher across from the chefs,0,1
the surgeon in front of the architects,0,1
the surgeon behind the executives,0,1
the senator next to the guards,0,1
the senator behind the parents,0,1
the customer next to the assistants,0,1
the consultant in front of the taxi drivers,0,1
the farmer in front of the architects,0,1
the farmer across from the executives,0,1
the painting from the assistants,0,1
the manager behind the dancers,0,1
the movie from the executives,0,1
the consultant across from the chefs,0,1
the song from the architects,0,1
the senator behind the dancers,0,1
the surgeon across from the guards,0,1
the customer next to the executives,0,1
the book by the ministers,0,1
the senator behind the guards,0,1
the picture from the taxi drivers,0,1
the officer behind the chefs,0,1
the pilot in front of the chefs,0,1
the pilot behind the executives,0,1
the manager in front of the assistants,0,1
the officer to the side of the parents,0,1
the painting by the executives,0,1
the officer across from the architects,0,1
the officer near the guards,0,1
the pilot in front of the taxi drivers,0,1
the officer next to the chefs,0,1
the consultant behind the taxi drivers,0,1
the customer behind the executives,0,1
the show by the assistants,0,1
the surgeon next to the chefs,0,1
the teacher in front of the ministers,0,1
the manager next to the parents,0,1
the consultant behind the executives,0,1
the farmer behind the dancers,0,1
the manager to the side of the dancers,0,1
the teacher next to the parents,0,1
the consultant near the taxi drivers,0,1
the consultant to the side of the skaters,0,1
the author next to the assistants,0,1
the manager across from the dancers,0,1
the song by the parents,0,1
the teacher near the skaters,0,1
the poem from the executives,0,1
the song from the guards,0,1
the farmer next to the assistants,0,1
the farmer to the side of the executives,0,1
the show from the executives,0,1
the author near the chefs,0,1
the surgeon in front of the guards,0,1
the teacher behind the chefs,0,1
the consultant to the side of the dancers,0,1
the song by the chefs,0,1
the manager behind the taxi drivers,0,1
the officer in front of the skaters,0,1
the surgeon next to the architects,0,1
the manager across from the chefs,0,1
the book from the assistants,0,1
the manager across from the architects,0,1
the author next to the dancers,0,1
the song by the skaters,0,1
the officer to the side of the architects,0,1
the show from the taxi drivers,0,1
the officer behind the executives,0,1
the customer across from the taxi drivers,0,1
the consultant across from the assistants,0,1
the painting from the ministers,0,1
the manager in front of the skaters,0,1
the pilot next to the chefs,0,1
the officer across from the ministers,0,1
the senator next to the taxi drivers,0,1
the pilot next to the parents,0,1
the senator near the guards,0,1
the show from the parents,0,1
the book from the executives,0,1
the consultant behind the guards,0,1
the teacher across from the assistants,0,1
the author across from the taxi drivers,0,1
the farmer next to the parents,0,1
the consultant behind the chefs,0,1
the show by the executives,0,1
the game from the architects,0,1
the farmer near the skaters,0,1
the author across from the chefs,0,1
the consultant next to the guards,0,1
the author behind the ministers,0,1
the senator across from the parents,0,1
the customer next to the parents,0,1
the song from the skaters,0,1
the picture by the skaters,0,1
the poem from the guards,0,1
the officer next to the architects,0,1
the customer in front of the taxi drivers,0,1
the surgeon to the side of the skaters,0,1
the novel from the executives,0,1
the farmer to the side of the chefs,0,1
the consultant behind the assistants,0,1
the manager behind the chefs,0,1
the manager to the side of the executives,0,1
the pilot across from the ministers,0,1
the senator to the side of the ministers,0,1
the poem from the dancers,0,1
the customer next to the architects,0,1
the author behind the skaters,0,1
the teacher next to the guards,0,1
the novel by the ministers,0,1
the officer behind the assistants,0,1
the surgeon next to the executives,0,1
the author across from the guards,0,1
the teacher across from the guards,0,1
the consultant next to the parents,0,1
the author next to the ministers,0,1
the movie from the dancers,0,1
the customer near the assistants,0,1
the consultant across from the architects,0,1
the novel from the guards,0,1
the senator across from the architects,0,1
the farmer in front of the taxi drivers,0,1
the customer behind the ministers,0,1
the officer across from the chefs,0,1
the officer across from the parents,0,1
the consultant behind the parents,0,1
the consultant near the ministers,0,1
the painting from the executives,0,1
the teacher next to the architects,0,1
the pilot in front of the guards,0,1
the pilot in front of the assistants,0,1
the surgeon near the executives,0,1
the senator to the side of the chefs,0,1
the teacher behind the parents,0,1
the manager near the dancers,0,1
the novel by the guards,0,1
the senator behind the executives,0,1
the movie by the taxi drivers,0,1
the author to the side of the architects,0,1
the officer in front of the assistants,0,1
the author near the dancers,0,1
the manager behind the parents,0,1
the consultant across from the guards,0,1
the novel by the assistants,0,1
the teacher next to the assistants,0,1
the painting by the parents,0,1
the surgeon to the side of the executives,0,1
the farmer to the side of the ministers,0,1
the officer in front of the guards,0,1
the author in front of the ministers,0,1
the farmer across from the taxi drivers,0,1
the surgeon in front of the ministers,0,1
the customer near the taxi drivers,0,1
the officer next to the taxi drivers,0,1
the author behind the chefs,0,1
the movie from the taxi drivers,0,1
the senator near the taxi drivers,0,1
the author in front of the guards,0,1
the author behind the executives,0,1
the officer in front of the architects,0,1
the surgeon across from the chefs,0,1
the pilot to the side of the chefs,0,1
the senator behind the chefs,0,1
the pilot near the parents,0,1
the picture from the guards,0,1
the senator in front of the guards,0,1
the game by the guards,0,1
the pilot across from the assistants,0,1
the farmer across from the dancers,0,1
the pilot behind the parents,0,1
the song by the dancers,0,1
the movie by the dancers,0,1
the farmer near the parents,0,1
the senator to the side of the skaters,0,1
the author in front of the executives,0,1
the surgeon next to the taxi drivers,0,1
the customer next to the taxi drivers,0,1
the officer near the ministers,0,1
the teacher to the side of the chefs,0,1
the manager next to the ministers,0,1
the author near the parents,0,1
the author to the side of the assistants,0,1
the show from the ministers,0,1
the manager behind the ministers,0,1
the customer near the ministers,0,1
the senator near the dancers,0,1
the senator in front of the parents,0,1
the senator near the architects,0,1
the movie by the executives,0,1
the officer next to the skaters,0,1
the officer near the executives,0,1
the officer behind the taxi drivers,0,1
the surgeon near the ministers,0,1
the customer behind the dancers,0,1
the senator next to the ministers,0,1
the consultant near the parents,0,1
the game from the dancers,0,1
the book by the assistants,0,1
the book by the parents,0,1
