,data,labels,counterfactual_data,var_0,counter_var_0,var_1,counter_var_1,aux_0,counter_aux_0,aux_1,counter_aux_1,aux_2,counter_aux_2,aux_3,counter_aux_3,CF_Label_0,CF_FN_0,CF_Label_1,CF_FN_1,CF_Label_2,CF_FN_2,CF_Label_3,CF_FN_3,CF_Label_4,CF_FN_4,CF_Label_5,CF_FN_5
24,13 99 113,86,17 99 113,56,63,30,30,112,3,27,31,112,116,-86,-82,86,var_0 counter_var_1 +,93,counter_var_0 var_1 +,82,aux_0 counter_aux_1 *,81,counter_aux_0 aux_1 *,82,aux_2 counter_aux_3 *,81,counter_aux_2 aux_3 *
25,81 63 113,106,21 72 113,7,102,99,14,31,93,18,62,144,93,18,-51,21,var_0 counter_var_1 +,88,counter_var_0 var_1 +,1,aux_0 counter_aux_1 *,92,counter_aux_0 aux_1 *,1,aux_2 counter_aux_3 *,92,counter_aux_2 aux_3 *
26,2 106 113,68,37 83 113,4,13,64,4,108,7,9,67,108,120,-104,-46,8,var_0 counter_var_1 +,77,counter_var_0 var_1 +,4,aux_0 counter_aux_1 *,63,counter_aux_0 aux_1 *,4,aux_2 counter_aux_3 *,63,counter_aux_2 aux_3 *
27,18 96 113,35,2 31 113,98,4,50,56,1,33,35,84,114,33,-78,-29,41,var_0 counter_var_1 +,54,counter_var_0 var_1 +,84,aux_0 counter_aux_1 *,25,counter_aux_0 aux_1 *,84,aux_2 counter_aux_3 *,25,counter_aux_2 aux_3 *
28,78 15 113,96,39 0 113,95,52,1,0,93,39,63,39,93,39,63,39,95,var_0 counter_var_1 +,53,counter_var_0 var_1 +,11,aux_0 counter_aux_1 *,84,counter_aux_0 aux_1 *,11,aux_2 counter_aux_3 *,84,counter_aux_2 aux_3 *
29,71 54 113,91,6 19 113,69,36,22,91,12,25,17,100,125,25,17,-13,47,var_0 counter_var_1 +,58,counter_var_0 var_1 +,70,aux_0 counter_aux_1 *,86,counter_aux_0 aux_1 *,70,aux_2 counter_aux_3 *,86,counter_aux_2 aux_3 *
30,100 74 113,4,111 24 113,56,4,61,102,61,22,26,87,174,135,26,87,45,var_0 counter_var_1 +,65,counter_var_0 var_1 +,109,aux_0 counter_aux_1 *,7,counter_aux_0 aux_1 *,109,aux_2 counter_aux_3 *,7,counter_aux_2 aux_3 *
31,77 101 113,22,110 98 113,53,9,82,1,65,95,89,12,178,208,-24,12,54,var_0 counter_var_1 +,91,counter_var_0 var_1 +,102,aux_0 counter_aux_1 *,93,counter_aux_0 aux_1 *,102,aux_2 counter_aux_3 *,93,counter_aux_2 aux_3 *
32,112 10 113,14,5 14 113,1,25,13,30,9,19,102,104,122,19,102,-9,31,var_0 counter_var_1 +,38,counter_var_0 var_1 +,32,aux_0 counter_aux_1 *,17,counter_aux_0 aux_1 *,32,aux_2 counter_aux_3 *,17,counter_aux_2 aux_3 *
33,41 109 113,83,17 77 113,99,63,97,60,37,94,45,53,150,94,-68,-60,46,var_0 counter_var_1 +,47,counter_var_0 var_1 +,40,aux_0 counter_aux_1 *,49,counter_aux_0 aux_1 *,40,aux_2 counter_aux_3 *,49,counter_aux_2 aux_3 *
34,43 89 113,30,34 41 113,41,26,102,14,19,75,67,106,132,75,-46,-7,55,var_0 counter_var_1 +,15,counter_var_0 var_1 +,93,aux_0 counter_aux_1 *,53,counter_aux_0 aux_1 *,93,aux_2 counter_aux_3 *,53,counter_aux_2 aux_3 *
35,15 16 113,82,85 20 113,112,106,83,52,31,105,112,65,31,105,-1,65,51,var_0 counter_var_1 +,76,counter_var_0 var_1 +,94,aux_0 counter_aux_1 *,8,counter_aux_0 aux_1 *,94,aux_2 counter_aux_3 *,8,counter_aux_2 aux_3 *
36,23 28 113,84,100 60 113,77,56,7,16,51,47,108,40,51,160,-5,40,93,var_0 counter_var_1 +,63,counter_var_0 var_1 +,6,aux_0 counter_aux_1 *,104,counter_aux_0 aux_1 *,6,aux_2 counter_aux_3 *,104,counter_aux_2 aux_3 *
37,54 71 113,22,97 66 113,91,30,44,51,12,50,96,31,125,163,-17,31,29,var_0 counter_var_1 +,74,counter_var_0 var_1 +,33,aux_0 counter_aux_1 *,54,counter_aux_0 aux_1 *,33,aux_2 counter_aux_3 *,54,counter_aux_2 aux_3 *
38,62 61 113,10,97 106 113,2,30,8,64,10,90,1,104,123,203,1,-9,66,var_0 counter_var_1 +,38,counter_var_0 var_1 +,23,aux_0 counter_aux_1 *,90,counter_aux_0 aux_1 *,23,aux_2 counter_aux_3 *,90,counter_aux_2 aux_3 *
39,107 95 113,51,10 68 113,36,100,15,9,89,78,12,55,202,78,12,-58,45,var_0 counter_var_1 +,2,counter_var_0 var_1 +,36,aux_0 counter_aux_1 *,32,counter_aux_0 aux_1 *,36,aux_2 counter_aux_3 *,32,counter_aux_2 aux_3 *
40,10 92 113,111,60 29 113,100,97,11,63,102,89,31,31,102,89,-82,31,50,var_0 counter_var_1 +,108,counter_var_0 var_1 +,111,aux_0 counter_aux_1 *,47,counter_aux_0 aux_1 *,111,aux_2 counter_aux_3 *,47,counter_aux_2 aux_3 *
41,7 26 113,51,19 65 113,49,22,2,69,33,84,94,67,33,84,-19,-46,5,var_0 counter_var_1 +,24,counter_var_0 var_1 +,64,aux_0 counter_aux_1 *,99,counter_aux_0 aux_1 *,64,aux_2 counter_aux_3 *,99,counter_aux_2 aux_3 *
42,46 7 113,33,12 81 113,82,31,64,106,53,93,39,44,53,93,39,-69,75,var_0 counter_var_1 +,95,counter_var_0 var_1 +,72,aux_0 counter_aux_1 *,11,counter_aux_0 aux_1 *,72,aux_2 counter_aux_3 *,11,counter_aux_2 aux_3 *
43,44 69 113,0,86 12 113,15,51,98,82,0,98,88,74,113,98,-25,74,97,var_0 counter_var_1 +,36,counter_var_0 var_1 +,0,aux_0 counter_aux_1 *,36,counter_aux_0 aux_1 *,0,aux_2 counter_aux_3 *,36,counter_aux_2 aux_3 *
44,15 22 113,80,79 50 113,112,26,81,99,37,16,106,29,37,129,-7,29,98,var_0 counter_var_1 +,107,counter_var_0 var_1 +,56,aux_0 counter_aux_1 *,1,counter_aux_0 aux_1 *,56,aux_2 counter_aux_3 *,1,counter_aux_2 aux_3 *
45,9 82 113,24,5 95 113,81,25,56,15,91,100,40,23,91,100,-73,-90,96,var_0 counter_var_1 +,81,counter_var_0 var_1 +,59,aux_0 counter_aux_1 *,45,counter_aux_0 aux_1 *,59,aux_2 counter_aux_3 *,45,counter_aux_2 aux_3 *
46,89 70 113,83,54 46 113,11,91,72,31,46,100,19,8,159,100,19,8,42,var_0 counter_var_1 +,50,counter_var_0 var_1 +,29,aux_0 counter_aux_1 *,92,counter_aux_0 aux_1 *,29,aux_2 counter_aux_3 *,92,counter_aux_2 aux_3 *
47,28 2 113,102,48 23 113,106,44,109,36,30,71,26,25,30,71,26,25,29,var_0 counter_var_1 +,40,counter_var_0 var_1 +,72,aux_0 counter_aux_1 *,38,counter_aux_0 aux_1 *,72,aux_2 counter_aux_3 *,38,counter_aux_2 aux_3 *
48,37 80 113,54,20 100 113,13,61,41,57,4,7,70,33,117,120,-43,-80,70,var_0 counter_var_1 +,102,counter_var_0 var_1 +,19,aux_0 counter_aux_1 *,38,counter_aux_0 aux_1 *,19,aux_2 counter_aux_3 *,38,counter_aux_2 aux_3 *
49,11 70 113,80,73 89 113,8,18,72,102,81,49,54,97,81,162,-59,-16,110,var_0 counter_var_1 +,90,counter_var_0 var_1 +,60,aux_0 counter_aux_1 *,47,counter_aux_0 aux_1 *,60,aux_2 counter_aux_3 *,47,counter_aux_2 aux_3 *
50,40 18 113,33,5 17 113,18,25,15,50,58,22,22,101,58,22,22,-12,68,var_0 counter_var_1 +,40,counter_var_0 var_1 +,95,aux_0 counter_aux_1 *,32,counter_aux_0 aux_1 *,95,aux_2 counter_aux_3 *,32,counter_aux_2 aux_3 *
51,32 55 113,33,75 30 113,7,88,26,4,87,105,90,45,87,105,-23,45,11,var_0 counter_var_1 +,1,counter_var_0 var_1 +,73,aux_0 counter_aux_1 *,71,counter_aux_0 aux_1 *,73,aux_2 counter_aux_3 *,71,counter_aux_2 aux_3 *
52,34 105 113,75,95 80 113,26,98,49,41,26,62,42,15,139,175,-71,15,67,var_0 counter_var_1 +,34,counter_var_0 var_1 +,51,aux_0 counter_aux_1 *,5,counter_aux_0 aux_1 *,51,aux_2 counter_aux_3 *,5,counter_aux_2 aux_3 *
53,62 40 113,97,33 49 113,2,72,95,85,102,82,22,97,102,82,22,-16,87,var_0 counter_var_1 +,54,counter_var_0 var_1 +,63,aux_0 counter_aux_1 *,109,counter_aux_0 aux_1 *,63,aux_2 counter_aux_3 *,109,counter_aux_2 aux_3 *
54,105 36 113,11,75 89 113,64,88,60,102,28,51,69,99,141,164,69,-14,53,var_0 counter_var_1 +,35,counter_var_0 var_1 +,60,aux_0 counter_aux_1 *,16,counter_aux_0 aux_1 *,60,aux_2 counter_aux_3 *,16,counter_aux_2 aux_3 *
55,72 43 113,58,43 67 113,99,41,72,31,2,110,29,89,115,110,29,-24,17,var_0 counter_var_1 +,0,counter_var_0 var_1 +,65,aux_0 counter_aux_1 *,26,counter_aux_0 aux_1 *,65,aux_2 counter_aux_3 *,26,counter_aux_2 aux_3 *
56,56 74 113,33,99 4 113,85,83,61,97,17,103,95,95,130,103,-18,95,69,var_0 counter_var_1 +,31,counter_var_0 var_1 +,33,aux_0 counter_aux_1 *,67,counter_aux_0 aux_1 *,33,aux_2 counter_aux_3 *,67,counter_aux_2 aux_3 *
57,80 4 113,56,18 35 113,72,98,97,18,84,53,76,96,84,53,76,-17,90,var_0 counter_var_1 +,82,counter_var_0 var_1 +,41,aux_0 counter_aux_1 *,73,counter_aux_0 aux_1 *,41,aux_2 counter_aux_3 *,73,counter_aux_2 aux_3 *
58,13 26 113,58,14 75 113,56,83,2,25,39,89,100,52,39,89,-13,-61,81,var_0 counter_var_1 +,85,counter_var_0 var_1 +,107,aux_0 counter_aux_1 *,86,counter_aux_0 aux_1 *,107,aux_2 counter_aux_3 *,86,counter_aux_2 aux_3 *
59,8 42 113,108,22 67 113,64,32,44,31,50,89,79,68,50,89,-34,-45,95,var_0 counter_var_1 +,76,counter_var_0 var_1 +,10,aux_0 counter_aux_1 *,25,counter_aux_0 aux_1 *,10,aux_2 counter_aux_3 *,25,counter_aux_2 aux_3 *
60,43 56 113,69,9 54 113,41,81,28,22,99,63,100,68,99,63,-13,-45,63,var_0 counter_var_1 +,109,counter_var_0 var_1 +,65,aux_0 counter_aux_1 *,85,counter_aux_0 aux_1 *,65,aux_2 counter_aux_3 *,85,counter_aux_2 aux_3 *
61,64 82 113,84,56 66 113,28,85,56,51,33,9,95,103,146,122,-18,-10,79,var_0 counter_var_1 +,28,counter_var_0 var_1 +,9,aux_0 counter_aux_1 *,64,counter_aux_0 aux_1 *,9,aux_2 counter_aux_3 *,64,counter_aux_2 aux_3 *
62,49 109 113,12,65 2 113,28,44,97,109,45,67,53,63,158,67,-60,63,24,var_0 counter_var_1 +,28,counter_var_0 var_1 +,10,aux_0 counter_aux_1 *,48,counter_aux_0 aux_1 *,10,aux_2 counter_aux_3 *,48,counter_aux_2 aux_3 *
63,83 32 113,102,92 99 113,109,102,106,30,2,78,51,106,115,191,51,-7,26,var_0 counter_var_1 +,95,counter_var_0 var_1 +,99,aux_0 counter_aux_1 *,23,counter_aux_0 aux_1 *,99,aux_2 counter_aux_3 *,23,counter_aux_2 aux_3 *
64,42 105 113,5,49 20 113,69,28,49,52,34,69,50,29,147,69,-63,29,8,var_0 counter_var_1 +,77,counter_var_0 var_1 +,82,aux_0 counter_aux_1 *,60,counter_aux_0 aux_1 *,82,aux_2 counter_aux_3 *,60,counter_aux_2 aux_3 *
65,88 80 113,101,110 24 113,60,9,41,102,55,21,8,86,168,134,8,86,49,var_0 counter_var_1 +,50,counter_var_0 var_1 +,97,aux_0 counter_aux_1 *,55,counter_aux_0 aux_1 *,97,aux_2 counter_aux_3 *,55,counter_aux_2 aux_3 *
66,108 32 113,18,12 58 113,25,31,106,26,27,70,76,67,140,70,76,-46,51,var_0 counter_var_1 +,24,counter_var_0 var_1 +,1,aux_0 counter_aux_1 *,9,counter_aux_0 aux_1 *,1,aux_2 counter_aux_3 *,9,counter_aux_2 aux_3 *
67,92 7 113,53,12 3 113,102,31,64,104,99,15,85,9,99,15,85,9,93,var_0 counter_var_1 +,95,counter_var_0 var_1 +,100,aux_0 counter_aux_1 *,32,counter_aux_0 aux_1 *,100,aux_2 counter_aux_3 *,32,counter_aux_2 aux_3 *
68,2 59 113,26,77 55 113,4,53,22,26,61,19,56,22,61,132,-57,22,30,var_0 counter_var_1 +,75,counter_var_0 var_1 +,99,aux_0 counter_aux_1 *,47,counter_aux_0 aux_1 *,99,aux_2 counter_aux_3 *,47,counter_aux_2 aux_3 *
69,38 28 113,95,22 84 113,88,32,7,63,66,106,10,51,66,106,10,-62,38,var_0 counter_var_1 +,39,counter_var_0 var_1 +,89,aux_0 counter_aux_1 *,43,counter_aux_0 aux_1 *,89,aux_2 counter_aux_3 *,43,counter_aux_2 aux_3 *
70,60 66 113,35,94 74 113,97,22,51,61,13,55,107,20,126,168,-6,20,45,var_0 counter_var_1 +,73,counter_var_0 var_1 +,34,aux_0 counter_aux_1 *,9,counter_aux_0 aux_1 *,34,aux_2 counter_aux_3 *,9,counter_aux_2 aux_3 *
71,71 86 113,18,36 59 113,69,53,62,22,44,95,98,90,157,95,-15,-23,91,var_0 counter_var_1 +,2,counter_var_0 var_1 +,5,aux_0 counter_aux_1 *,44,counter_aux_0 aux_1 *,5,aux_2 counter_aux_3 *,44,counter_aux_2 aux_3 *
72,98 83 113,3,29 100 113,112,50,4,57,68,16,15,42,181,129,15,-71,56,var_0 counter_var_1 +,54,counter_var_0 var_1 +,31,aux_0 counter_aux_1 *,14,counter_aux_0 aux_1 *,31,aux_2 counter_aux_3 *,14,counter_aux_2 aux_3 *
73,89 105 113,60,8 79 113,11,64,49,87,81,87,97,42,194,87,-16,-71,98,var_0 counter_var_1 +,0,counter_var_0 var_1 +,12,aux_0 counter_aux_1 *,77,counter_aux_0 aux_1 *,12,aux_2 counter_aux_3 *,77,counter_aux_2 aux_3 *
74,68 53 113,7,42 95 113,104,69,16,15,8,24,15,60,121,137,15,-53,6,var_0 counter_var_1 +,85,counter_var_0 var_1 +,28,aux_0 counter_aux_1 *,21,counter_aux_0 aux_1 *,28,aux_2 counter_aux_3 *,21,counter_aux_2 aux_3 *
75,69 111 113,11,112 89 113,15,1,109,102,67,88,71,23,180,201,-42,23,4,var_0 counter_var_1 +,110,counter_var_0 var_1 +,72,aux_0 counter_aux_1 *,33,counter_aux_0 aux_1 *,72,aux_2 counter_aux_3 *,33,counter_aux_2 aux_3 *
76,24 41 113,25,25 36 113,11,60,14,60,65,61,96,102,65,61,-17,-11,71,var_0 counter_var_1 +,74,counter_var_0 var_1 +,76,aux_0 counter_aux_1 *,93,counter_aux_0 aux_1 *,76,aux_2 counter_aux_3 *,93,counter_aux_2 aux_3 *
77,27 52 113,59,112 65 113,51,1,8,69,79,64,88,47,79,177,-25,47,7,var_0 counter_var_1 +,9,counter_var_0 var_1 +,97,aux_0 counter_aux_1 *,95,counter_aux_0 aux_1 *,97,aux_2 counter_aux_3 *,95,counter_aux_2 aux_3 *
78,99 37 113,70,34 59 113,83,26,100,22,23,93,62,88,136,93,62,-25,105,var_0 counter_var_1 +,13,counter_var_0 var_1 +,103,aux_0 counter_aux_1 *,3,counter_aux_0 aux_1 *,103,aux_2 counter_aux_3 *,3,counter_aux_2 aux_3 *
79,61 88 113,45,57 43 113,105,85,53,72,36,100,86,14,149,100,-27,14,64,var_0 counter_var_1 +,25,counter_var_0 var_1 +,52,aux_0 counter_aux_1 *,12,counter_aux_0 aux_1 *,52,aux_2 counter_aux_3 *,12,counter_aux_2 aux_3 *
80,44 68 113,24,61 17 113,15,105,9,50,112,78,89,44,112,78,-24,44,65,var_0 counter_var_1 +,1,counter_var_0 var_1 +,69,aux_0 counter_aux_1 *,49,counter_aux_0 aux_1 *,69,aux_2 counter_aux_3 *,49,counter_aux_2 aux_3 *
81,57 18 113,100,83 23 113,85,109,15,36,75,106,39,60,75,106,39,60,8,var_0 counter_var_1 +,11,counter_var_0 var_1 +,93,aux_0 counter_aux_1 *,66,counter_aux_0 aux_1 *,93,aux_2 counter_aux_3 *,66,counter_aux_2 aux_3 *
82,63 15 113,15,54 55 113,14,91,1,26,78,109,48,112,78,109,48,-1,40,var_0 counter_var_1 +,92,counter_var_0 var_1 +,35,aux_0 counter_aux_1 *,34,counter_aux_0 aux_1 *,35,aux_2 counter_aux_3 *,34,counter_aux_2 aux_3 *
83,16 31 113,86,97 64 113,30,30,56,85,47,48,98,33,47,161,-15,33,2,var_0 counter_var_1 +,86,counter_var_0 var_1 +,82,aux_0 counter_aux_1 *,71,counter_aux_0 aux_1 *,82,aux_2 counter_aux_3 *,71,counter_aux_2 aux_3 *
84,1 94 113,92,97 68 113,1,30,91,9,95,52,20,29,95,165,-93,29,10,var_0 counter_var_1 +,8,counter_var_0 var_1 +,43,aux_0 counter_aux_1 *,23,counter_aux_0 aux_1 *,43,aux_2 counter_aux_3 *,23,counter_aux_2 aux_3 *
85,28 38 113,18,18 71 113,106,98,25,44,66,89,103,60,66,89,-10,-53,37,var_0 counter_var_1 +,10,counter_var_0 var_1 +,5,aux_0 counter_aux_1 *,14,counter_aux_0 aux_1 *,5,aux_2 counter_aux_3 *,14,counter_aux_2 aux_3 *
86,63 10 113,27,20 4 113,14,61,13,97,73,24,53,16,73,24,53,16,111,var_0 counter_var_1 +,74,counter_var_0 var_1 +,38,aux_0 counter_aux_1 *,29,counter_aux_0 aux_1 *,38,aux_2 counter_aux_3 *,29,counter_aux_2 aux_3 *
87,83 38 113,21,46 42 113,109,82,25,44,8,88,45,4,121,88,45,4,40,var_0 counter_var_1 +,107,counter_var_0 var_1 +,32,aux_0 counter_aux_1 *,5,counter_aux_0 aux_1 *,32,aux_2 counter_aux_3 *,5,counter_aux_2 aux_3 *
88,86 99 113,81,93 52 113,51,61,30,8,72,32,100,41,185,145,-13,41,59,var_0 counter_var_1 +,91,counter_var_0 var_1 +,14,aux_0 counter_aux_1 *,36,counter_aux_0 aux_1 *,14,aux_2 counter_aux_3 *,36,counter_aux_2 aux_3 *
89,88 68 113,69,60 110 113,60,97,9,104,43,57,20,63,156,170,20,-50,51,var_0 counter_var_1 +,106,counter_var_0 var_1 +,110,aux_0 counter_aux_1 *,10,counter_aux_0 aux_1 *,110,aux_2 counter_aux_3 *,10,counter_aux_2 aux_3 *
90,26 49 113,83,41 11 113,111,99,85,105,75,52,90,30,75,52,-23,30,103,var_0 counter_var_1 +,71,counter_var_0 var_1 +,103,aux_0 counter_aux_1 *,47,counter_aux_0 aux_1 *,103,aux_2 counter_aux_3 *,47,counter_aux_2 aux_3 *
91,21 49 113,74,81 66 113,102,7,85,51,70,34,85,15,70,147,-28,15,40,var_0 counter_var_1 +,92,counter_var_0 var_1 +,33,aux_0 counter_aux_1 *,65,counter_aux_0 aux_1 *,33,aux_2 counter_aux_3 *,65,counter_aux_2 aux_3 *
92,39 21 113,63,36 4 113,52,53,11,97,60,40,18,32,60,40,18,32,36,var_0 counter_var_1 +,64,counter_var_0 var_1 +,112,aux_0 counter_aux_1 *,42,counter_aux_0 aux_1 *,112,aux_2 counter_aux_3 *,42,counter_aux_2 aux_3 *
93,81 109 113,104,51 64 113,7,2,97,85,77,2,85,100,190,115,-28,-13,92,var_0 counter_var_1 +,99,counter_var_0 var_1 +,16,aux_0 counter_aux_1 *,57,counter_aux_0 aux_1 *,16,aux_2 counter_aux_3 *,57,counter_aux_2 aux_3 *
94,11 40 113,103,72 75 113,8,99,95,25,51,34,84,110,51,147,-29,-3,33,var_0 counter_var_1 +,81,counter_var_0 var_1 +,73,aux_0 counter_aux_1 *,31,counter_aux_0 aux_1 *,73,aux_2 counter_aux_3 *,31,counter_aux_2 aux_3 *
95,97 79 113,4,16 12 113,30,30,87,82,63,28,18,4,176,28,18,4,112,var_0 counter_var_1 +,4,counter_var_0 var_1 +,26,aux_0 counter_aux_1 *,52,counter_aux_0 aux_1 *,26,aux_2 counter_aux_3 *,52,counter_aux_2 aux_3 *
96,65 80 113,85,54 89 113,44,91,41,102,32,30,98,78,145,143,-15,-35,33,var_0 counter_var_1 +,19,counter_var_0 var_1 +,10,aux_0 counter_aux_1 *,2,counter_aux_0 aux_1 *,10,aux_2 counter_aux_3 *,2,counter_aux_2 aux_3 *
97,48 68 113,53,30 104 113,44,109,9,32,3,21,93,39,116,134,-20,-74,76,var_0 counter_var_1 +,5,counter_var_0 var_1 +,4,aux_0 counter_aux_1 *,32,counter_aux_0 aux_1 *,4,aux_2 counter_aux_3 *,32,counter_aux_2 aux_3 *
