,data,labels,counterfactual_data,var_0,counter_var_0
388,0 49 113,49,110 10 113,49,7
389,66 97 113,50,36 1 113,50,37
390,18 32 113,50,33 89 113,50,9
391,62 20 113,82,32 31 113,82,63
392,80 82 113,49,65 71 113,49,23
393,93 39 113,19,23 21 113,19,44
394,107 23 113,17,90 27 113,17,4
395,43 23 113,66,38 41 113,66,79
396,66 20 113,86,0 54 113,86,54
397,97 107 113,91,56 81 113,91,24
398,112 3 113,2,16 60 113,2,76
399,64 105 113,56,11 60 113,56,71
400,14 102 113,3,75 36 113,3,111
401,57 49 113,106,89 102 113,106,78
402,54 63 113,4,27 29 113,4,56
403,55 97 113,39,112 30 113,39,29
404,17 61 113,78,43 22 113,78,65
405,18 112 113,17,107 102 113,17,96
406,51 65 113,3,18 87 113,3,105
407,97 89 113,73,98 103 113,73,88
408,104 70 113,61,38 15 113,61,53
409,103 112 113,102,63 2 113,102,65
410,103 65 113,55,47 63 113,55,110
411,30 11 113,41,34 109 113,41,30
412,87 71 113,45,83 69 113,45,39
413,14 83 113,97,66 76 113,97,29
414,20 40 113,60,100 61 113,60,48
415,52 109 113,48,74 107 113,48,68
416,11 22 113,33,67 78 113,33,32
417,109 97 113,93,48 29 113,93,77
418,69 1 113,70,6 98 113,70,104
419,24 12 113,36,81 59 113,36,27
420,10 35 113,45,64 38 113,45,102
421,108 31 113,26,34 25 113,26,59
422,98 61 113,46,22 66 113,46,88
423,42 18 113,60,105 16 113,60,8
424,82 33 113,2,78 23 113,2,101
425,96 67 113,50,65 27 113,50,92
426,13 80 113,93,44 99 113,93,30
427,2 43 113,45,58 60 113,45,5
428,76 99 113,62,51 97 113,62,35
429,80 24 113,104,20 18 113,104,38
430,17 44 113,61,28 78 113,61,106
431,38 53 113,91,47 81 113,91,15
432,89 32 113,8,53 41 113,8,94
433,61 112 113,60,95 66 113,60,48
434,73 72 113,32,54 31 113,32,85
435,8 103 113,111,18 75 113,111,93
436,42 6 113,48,19 89 113,48,108
437,40 50 113,90,75 11 113,90,86
438,8 6 113,14,79 64 113,14,30
439,103 38 113,28,17 14 113,28,31
440,43 18 113,61,7 63 113,61,70
441,37 103 113,27,90 12 113,27,102
442,98 74 113,59,21 86 113,59,107
443,38 108 113,33,13 60 113,33,73
444,91 84 113,62,55 60 113,62,2
445,96 23 113,6,37 95 113,6,19
446,64 39 113,103,80 38 113,103,5
447,76 46 113,9,20 14 113,9,34
448,102 60 113,49,81 106 113,49,74
449,26 96 113,9,37 25 113,9,62
450,43 31 113,74,82 52 113,74,21
451,69 24 113,93,38 111 113,93,36
452,58 31 113,89,64 11 113,89,75
453,62 18 113,80,41 52 113,80,93
454,47 42 113,89,16 49 113,89,65
455,35 38 113,73,71 86 113,73,44
456,6 54 113,60,110 112 113,60,109
457,108 46 113,41,40 21 113,41,61
458,76 6 113,82,38 19 113,82,57
459,92 109 113,88,8 69 113,88,77
460,111 14 113,12,70 88 113,12,45
461,85 58 113,30,25 27 113,30,52
462,86 54 113,27,92 8 113,27,100
463,49 51 113,100,105 81 113,100,73
464,71 84 113,42,66 59 113,42,12
465,96 30 113,13,77 74 113,13,38
466,56 94 113,37,30 6 113,37,36
467,50 112 113,49,34 26 113,49,60
468,111 2 113,0,26 84 113,0,110
469,54 50 113,104,54 93 113,104,34
470,66 72 113,25,108 60 113,25,55
471,109 95 113,91,96 41 113,91,24
472,78 36 113,1,53 91 113,1,31
473,95 63 113,45,26 44 113,45,70
474,112 62 113,61,50 15 113,61,65
475,12 104 113,3,46 28 113,3,74
476,5 33 113,38,53 83 113,38,23
477,34 86 113,7,87 107 113,7,81
478,7 57 113,64,92 42 113,64,21
479,103 7 113,110,108 112 113,110,107
480,63 55 113,5,57 85 113,5,29
481,26 73 113,99,38 71 113,99,109
482,31 85 113,3,84 91 113,3,62
483,101 71 113,59,52 103 113,59,42
484,72 101 113,60,60 77 113,60,24
485,45 34 113,79,80 13 113,79,93
486,38 47 113,85,93 71 113,85,51
487,81 15 113,96,46 103 113,96,36
488,82 80 113,49,48 45 113,49,93
489,63 84 113,34,42 38 113,34,80
490,68 48 113,3,86 76 113,3,49
491,13 32 113,45,83 21 113,45,104
492,0 29 113,29,61 56 113,29,4
493,96 50 113,33,21 98 113,33,6
494,55 10 113,65,76 1 113,65,77
495,10 33 113,43,17 90 113,43,107
496,73 91 113,51,55 48 113,51,103
497,36 25 113,61,72 67 113,61,26
498,20 28 113,48,25 32 113,48,57
499,108 41 113,36,91 81 113,36,59
500,28 79 113,107,28 26 113,107,54
501,28 86 113,1,97 8 113,1,105
502,3 110 113,0,97 72 113,0,56
503,92 108 113,87,21 77 113,87,98
504,101 109 113,97,81 91 113,97,59
505,28 4 113,32,88 46 113,32,21
506,79 80 113,46,95 105 113,46,87
507,78 47 113,12,107 52 113,12,46
508,50 110 113,47,98 82 113,47,67
509,88 8 113,96,14 92 113,96,106
510,10 49 113,59,32 89 113,59,8
511,28 37 113,65,3 69 113,65,72
512,48 87 113,22,39 47 113,22,86
513,8 7 113,15,62 51 113,15,0
514,27 108 113,22,16 29 113,22,45
515,46 61 113,107,0 112 113,107,112
516,105 89 113,81,27 26 113,81,53
517,44 80 113,11,0 81 113,11,81
518,5 43 113,48,1 67 113,48,68
519,104 35 113,26,8 17 113,26,25
520,28 82 113,110,49 41 113,110,90
521,74 75 113,36,18 64 113,36,82
522,14 96 113,110,80 81 113,110,48
523,59 33 113,92,8 7 113,92,15
524,55 13 113,68,24 107 113,68,18
525,94 64 113,45,9 12 113,45,21
526,34 83 113,4,28 95 113,4,10
527,10 50 113,60,45 3 113,60,48
528,53 77 113,17,72 84 113,17,43
529,79 0 113,79,0 18 113,79,18
530,34 6 113,40,1 63 113,40,64
531,46 22 113,68,66 3 113,68,69
532,83 11 113,94,103 60 113,94,50
533,32 89 113,8,0 15 113,8,15
534,111 92 113,90,94 13 113,90,107
535,76 101 113,64,89 19 113,64,108
536,50 90 113,27,11 98 113,27,109
537,14 23 113,37,97 58 113,37,42
538,34 41 113,75,62 100 113,75,49
539,14 18 113,32,5 85 113,32,90
540,76 62 113,25,27 105 113,25,19
541,73 107 113,67,90 57 113,67,34
542,80 18 113,98,32 41 113,98,73
543,34 57 113,91,76 58 113,91,21
544,70 54 113,11,18 19 113,11,37
545,81 89 113,57,72 101 113,57,60
546,102 10 113,112,5 6 113,112,11
547,45 87 113,19,45 26 113,19,71
548,57 30 113,87,48 15 113,87,63
549,99 11 113,110,56 46 113,110,102
550,43 34 113,77,11 18 113,77,29
551,39 11 113,50,106 54 113,50,47
552,22 82 113,104,7 83 113,104,90
553,45 67 113,112,71 29 113,112,100
554,20 112 113,19,64 65 113,19,16
555,42 103 113,32,111 57 113,32,55
556,70 102 113,59,62 79 113,59,28
557,101 53 113,41,9 82 113,41,91
558,77 68 113,32,100 87 113,32,74
559,31 48 113,79,55 54 113,79,109
560,68 2 113,70,63 39 113,70,102
561,78 55 113,20,5 48 113,20,53
562,97 103 113,87,43 68 113,87,111
563,63 49 113,112,83 110 113,112,80
564,74 69 113,30,112 0 113,30,112
565,98 67 113,52,36 103 113,52,26
566,24 36 113,60,41 51 113,60,92
567,85 53 113,25,89 56 113,25,32
568,11 29 113,40,87 60 113,40,34
569,64 30 113,94,52 38 113,94,90
570,23 68 113,91,6 97 113,91,103
571,22 84 113,106,55 91 113,106,33
572,86 3 113,89,67 97 113,89,51
573,72 40 113,112,46 87 113,112,20
574,60 110 113,57,15 20 113,57,35
575,17 7 113,24,65 53 113,24,5
576,42 86 113,15,78 42 113,15,7
577,66 7 113,73,26 40 113,73,66
578,76 102 113,65,54 8 113,65,62
579,14 54 113,68,37 12 113,68,49
580,107 48 113,42,46 84 113,42,17
581,61 107 113,55,110 62 113,55,59
582,39 54 113,93,105 43 113,93,35
583,61 16 113,77,106 14 113,77,7
584,99 23 113,9,55 47 113,9,102
585,108 19 113,14,82 41 113,14,10
586,66 83 113,36,20 87 113,36,107
587,5 45 113,50,102 39 113,50,28
588,90 1 113,91,87 38 113,91,12
589,88 57 113,32,87 49 113,32,23
590,38 86 113,11,33 22 113,11,55
591,59 42 113,101,10 14 113,101,24
592,63 47 113,110,100 12 113,110,112
593,49 110 113,46,26 47 113,46,73
594,103 1 113,104,75 75 113,104,37
595,71 51 113,9,39 27 113,9,66
596,111 54 113,52,98 87 113,52,72
597,85 38 113,10,76 36 113,10,112
598,7 46 113,53,93 43 113,53,23
599,55 24 113,79,112 96 113,79,95
600,49 14 113,63,70 53 113,63,10
601,2 79 113,81,38 6 113,81,44
602,112 8 113,7,110 109 113,7,106
603,64 102 113,53,94 8 113,53,102
604,31 65 113,96,53 62 113,96,2
605,90 47 113,24,70 30 113,24,100
606,15 33 113,48,93 44 113,48,24
607,69 34 113,103,44 106 113,103,37
608,62 53 113,2,89 30 113,2,6
609,105 75 113,67,80 62 113,67,29
610,98 48 113,33,11 51 113,33,62
611,13 64 113,77,4 43 113,77,47
612,11 91 113,102,68 86 113,102,41
613,100 47 113,34,39 77 113,34,3
614,88 58 113,33,38 4 113,33,42
615,107 1 113,108,45 48 113,108,93
616,11 51 113,62,96 6 113,62,102
617,96 104 113,87,89 46 113,87,22
618,108 13 113,8,94 99 113,8,80
619,89 40 113,16,8 61 113,16,69
620,70 10 113,80,19 39 113,80,58
621,42 101 113,30,78 17 113,30,95
622,66 17 113,83,81 93 113,83,61
623,7 82 113,89,70 110 113,89,67
624,2 104 113,106,90 103 113,106,80
625,110 60 113,57,102 70 113,57,59
626,26 30 113,56,103 41 113,56,31
627,99 33 113,19,104 57 113,19,48
628,15 99 113,1,48 61 113,1,109
629,65 14 113,79,60 4 113,79,64
630,34 46 113,80,10 61 113,80,71
631,3 64 113,67,49 40 113,67,89
632,2 18 113,20,16 101 113,20,4
633,100 102 113,89,96 99 113,89,82
634,13 87 113,100,5 89 113,100,94
635,75 38 113,0,53 93 113,0,33
636,27 82 113,109,49 37 113,109,86
637,107 58 113,52,18 49 113,52,67
638,12 6 113,18,33 23 113,18,56
639,65 10 113,75,49 78 113,75,14
640,112 26 113,25,46 37 113,25,83
641,52 41 113,93,52 100 113,93,39
642,7 78 113,85,55 21 113,85,76
643,32 73 113,105,67 8 113,105,75
644,45 88 113,20,103 0 113,20,103
645,11 109 113,7,27 91 113,7,5
646,62 76 113,25,32 65 113,25,97
647,27 15 113,42,87 50 113,42,24
648,77 104 113,68,20 78 113,68,98
649,88 71 113,46,8 5 113,46,13
650,87 27 113,1,12 61 113,1,73
651,81 77 113,45,92 35 113,45,14
652,31 63 113,94,17 89 113,94,106
653,59 11 113,70,22 81 113,70,103
654,9 81 113,90,30 16 113,90,46
655,77 26 113,103,85 34 113,103,6
656,106 63 113,56,84 9 113,56,93
657,49 38 113,87,105 96 113,87,88
658,52 94 113,33,85 78 113,33,50
659,92 74 113,53,40 5 113,53,45
660,40 45 113,85,58 15 113,85,73
661,109 96 113,92,7 36 113,92,43
662,15 107 113,9,32 104 113,9,23
663,95 32 113,14,72 46 113,14,5
664,45 98 113,30,101 78 113,30,66
665,19 13 113,32,29 86 113,32,2
666,95 78 113,60,38 105 113,60,30
667,106 10 113,3,79 51 113,3,17
668,79 98 113,64,61 34 113,64,95
669,29 35 113,64,109 28 113,64,24
670,12 38 113,50,8 88 113,50,96
671,40 17 113,57,59 55 113,57,1
672,67 39 113,106,90 21 113,106,111
673,18 34 113,52,106 36 113,52,29
674,83 80 113,50,4 109 113,50,0
675,3 4 113,7,6 86 113,7,92
676,105 10 113,2,89 1 113,2,90
677,37 17 113,54,77 96 113,54,60
678,8 63 113,71,53 22 113,71,75
679,93 73 113,53,111 41 113,53,39
680,71 26 113,97,57 60 113,97,4
681,92 19 113,111,53 112 113,111,52
682,58 80 113,25,14 14 113,25,28
683,18 6 113,24,0 60 113,24,60
684,33 29 113,62,102 47 113,62,36
685,108 6 113,1,102 81 113,1,70
686,98 54 113,39,66 11 113,39,77
687,99 93 113,79,102 59 113,79,48
688,9 97 113,106,75 74 113,106,36
689,68 109 113,64,23 107 113,64,17
690,44 55 113,99,56 68 113,99,11
691,4 26 113,30,105 91 113,30,83
692,57 39 113,96,38 70 113,96,108
693,66 66 113,19,71 24 113,19,95
694,52 58 113,110,55 9 113,110,64
695,81 47 113,15,44 52 113,15,96
696,34 47 113,81,2 39 113,81,41
