,data,labels,counterfactual_data,var_0,counter_var_0,var_1,counter_var_1,aux_0,counter_aux_0,CF_Label_0,CF_FN_0,CF_Label_1,CF_FN_1
40,115 110 21 92 113,44,115 2 35 9 113,23,2,21,12,30,9,35,var_0 counter_var_1 +,23,counter_var_0 var_1 +
41,115 42 29 25 113,19,115 3 78 65 113,13,3,6,9,25,3,22,var_0 counter_var_1 +,9,counter_var_0 var_1 +
42,115 69 47 34 113,12,115 88 108 58 113,11,1,1,16,3,27,27,var_0 counter_var_1 +,2,counter_var_0 var_1 +
43,115 100 5 47 113,18,115 104 67 46 113,13,17,5,21,16,15,34,var_0 counter_var_1 +,22,counter_var_0 var_1 +
44,115 10 86 45 113,27,115 68 54 83 113,10,10,17,8,14,21,18,var_0 counter_var_1 +,27,counter_var_0 var_1 +
45,115 0 12 21 113,12,115 18 14 24 113,0,18,12,14,21,24,14,var_0 counter_var_1 +,30,counter_var_0 var_1 +
46,115 8 48 89 113,10,115 77 79 57 113,8,19,2,10,27,26,18,var_0 counter_var_1 +,21,counter_var_0 var_1 +
47,115 83 87 69 113,43,115 34 34 27 113,25,5,18,11,7,27,36,var_0 counter_var_1 +,23,counter_var_0 var_1 +
48,115 12 29 25 113,18,115 100 102 16 113,12,13,6,10,25,16,22,var_0 counter_var_1 +,19,counter_var_0 var_1 +
49,115 61 75 82 113,9,115 112 61 18 113,3,25,6,15,20,18,18,var_0 counter_var_1 +,31,counter_var_0 var_1 +
50,115 76 56 59 113,28,115 15 83 38 113,18,15,10,14,28,7,32,var_0 counter_var_1 +,25,counter_var_0 var_1 +
51,115 85 11 30 113,38,115 96 71 74 113,27,9,11,2,30,12,29,var_0 counter_var_1 +,20,counter_var_0 var_1 +
52,115 100 96 6 113,17,115 15 109 79 113,13,15,4,17,6,17,30,var_0 counter_var_1 +,19,counter_var_0 var_1 +
53,115 27 99 85 113,34,115 65 63 43 113,27,7,7,17,23,12,44,var_0 counter_var_1 +,14,counter_var_0 var_1 +
54,115 93 84 32 113,21,115 65 25 111 113,6,7,15,2,1,18,8,var_0 counter_var_1 +,22,counter_var_0 var_1 +
55,115 102 111 12 113,34,115 90 18 73 113,15,3,19,18,12,11,33,var_0 counter_var_1 +,22,counter_var_0 var_1 +
56,115 6 90 90 113,27,115 27 92 2 113,6,27,21,0,28,2,6,var_0 counter_var_1 +,48,counter_var_0 var_1 +
57,115 96 103 49 113,20,115 66 39 14 113,9,8,11,16,18,14,25,var_0 counter_var_1 +,19,counter_var_0 var_1 +
58,115 24 52 95 113,30,115 50 15 53 113,24,21,6,15,2,22,39,var_0 counter_var_1 +,27,counter_var_0 var_1 +
59,115 41 83 38 113,26,115 89 23 4 113,12,2,14,0,7,4,12,var_0 counter_var_1 +,16,counter_var_0 var_1 +
60,115 69 33 50 113,21,115 49 102 16 113,11,20,10,10,19,16,21,var_0 counter_var_1 +,30,counter_var_0 var_1 +
61,115 63 10 68 113,15,115 18 67 46 113,5,18,10,21,6,15,26,var_0 counter_var_1 +,28,counter_var_0 var_1 +
62,115 10 3 15 113,13,115 47 35 9 113,10,18,3,12,15,9,22,var_0 counter_var_1 +,21,counter_var_0 var_1 +
63,115 88 56 59 113,11,115 19 27 88 113,1,19,10,4,28,26,5,var_0 counter_var_1 +,29,counter_var_0 var_1 +
64,115 63 63 43 113,22,115 17 12 21 113,5,17,17,12,12,21,17,var_0 counter_var_1 +,34,counter_var_0 var_1 +
65,115 15 47 34 113,16,115 87 95 29 113,15,0,1,3,3,29,18,var_0 counter_var_1 +,1,counter_var_0 var_1 +
66,115 107 101 104 113,29,115 2 24 5 113,20,2,9,1,11,5,21,var_0 counter_var_1 +,11,counter_var_0 var_1 +
67,115 32 22 75 113,25,115 58 14 24 113,3,0,22,14,13,24,17,var_0 counter_var_1 +,22,counter_var_0 var_1 +
68,115 6 29 25 113,12,115 41 36 106 113,6,12,6,13,25,13,19,var_0 counter_var_1 +,18,counter_var_0 var_1 +
69,115 42 65 17 113,32,115 52 21 92 113,13,23,19,21,17,30,34,var_0 counter_var_1 +,42,counter_var_0 var_1 +
70,115 47 21 92 113,39,115 14 62 41 113,18,14,21,16,30,10,34,var_0 counter_var_1 +,35,counter_var_0 var_1 +
71,115 17 95 29 113,20,115 72 36 106 113,17,14,3,13,29,13,30,var_0 counter_var_1 +,17,counter_var_0 var_1 +
72,115 28 68 100 113,50,115 11 32 64 113,28,11,22,9,7,2,37,var_0 counter_var_1 +,33,counter_var_0 var_1 +
73,115 37 9 87 113,17,115 95 5 47 113,8,8,9,5,25,16,13,var_0 counter_var_1 +,17,counter_var_0 var_1 +
74,115 33 3 15 113,7,115 98 67 46 113,4,11,3,21,15,15,25,var_0 counter_var_1 +,14,counter_var_0 var_1 +
75,115 23 109 79 113,40,115 68 58 98 113,23,10,17,12,17,5,35,var_0 counter_var_1 +,27,counter_var_0 var_1 +
76,115 62 76 93 113,11,115 104 80 31 113,4,17,7,11,0,0,15,var_0 counter_var_1 +,24,counter_var_0 var_1 +
77,115 60 12 21 113,14,115 24 106 35 113,2,24,12,14,21,4,16,var_0 counter_var_1 +,36,counter_var_0 var_1 +
78,115 45 59 23 113,29,115 26 48 89 113,16,26,13,2,23,27,18,var_0 counter_var_1 +,39,counter_var_0 var_1 +
79,115 20 92 2 113,20,115 27 79 57 113,20,27,0,10,2,26,30,var_0 counter_var_1 +,27,counter_var_0 var_1 +
80,115 54 99 85 113,32,115 4 27 88 113,25,4,7,4,23,26,29,var_0 counter_var_1 +,11,counter_var_0 var_1 +
81,115 7 2 63 113,9,115 48 100 0 113,7,19,2,8,1,0,15,var_0 counter_var_1 +,21,counter_var_0 var_1 +
82,115 32 95 29 113,6,115 73 30 70 113,3,15,3,7,29,8,10,var_0 counter_var_1 +,18,counter_var_0 var_1 +
83,115 35 63 43 113,23,115 14 6 56 113,6,14,17,6,12,25,12,var_0 counter_var_1 +,31,counter_var_0 var_1 +
84,115 8 83 38 113,22,115 69 18 73 113,8,11,14,18,7,11,26,var_0 counter_var_1 +,25,counter_var_0 var_1 +
85,115 48 16 94 113,35,115 16 30 70 113,19,16,16,7,1,8,26,var_0 counter_var_1 +,32,counter_var_0 var_1 +
86,115 73 15 53 113,30,115 11 19 86 113,15,11,15,19,22,24,34,var_0 counter_var_1 +,26,counter_var_0 var_1 +
87,115 19 103 49 113,30,115 91 69 99 113,19,4,11,0,18,6,19,var_0 counter_var_1 +,15,counter_var_0 var_1 +
88,115 72 69 99 113,14,115 109 0 101 113,14,22,0,0,6,8,14,var_0 counter_var_1 +,22,counter_var_0 var_1 +
89,115 17 86 45 113,34,115 98 0 101 113,17,11,17,0,14,8,17,var_0 counter_var_1 +,28,counter_var_0 var_1 +
90,115 50 52 95 113,27,115 100 12 21 113,21,13,6,12,2,21,33,var_0 counter_var_1 +,19,counter_var_0 var_1 +
91,115 43 32 64 113,23,115 78 46 80 113,14,20,9,0,2,18,14,var_0 counter_var_1 +,29,counter_var_0 var_1 +
92,115 21 89 28 113,41,115 98 47 34 113,21,11,20,1,28,3,22,var_0 counter_var_1 +,31,counter_var_0 var_1 +
93,115 58 83 38 113,14,115 104 56 59 113,0,17,14,10,7,28,10,var_0 counter_var_1 +,31,counter_var_0 var_1 +
94,115 39 47 34 113,11,115 24 101 104 113,10,24,1,9,3,11,19,var_0 counter_var_1 +,25,counter_var_0 var_1 +
95,115 89 50 77 113,6,115 89 74 13 113,2,2,4,5,15,13,7,var_0 counter_var_1 +,6,counter_var_0 var_1 +
96,115 30 74 13 113,6,115 53 78 65 113,1,24,5,9,13,3,10,var_0 counter_var_1 +,29,counter_var_0 var_1 +
97,115 34 15 53 113,20,115 61 95 29 113,5,3,15,3,22,29,8,var_0 counter_var_1 +,18,counter_var_0 var_1 +
98,115 70 7 10 113,19,115 81 83 38 113,12,23,7,14,10,7,26,var_0 counter_var_1 +,30,counter_var_0 var_1 +
99,115 12 11 30 113,23,115 22 18 73 113,12,22,11,18,30,11,30,var_0 counter_var_1 +,33,counter_var_0 var_1 +
100,115 39 86 45 113,27,115 22 47 34 113,10,22,17,1,14,3,11,var_0 counter_var_1 +,39,counter_var_0 var_1 +
101,115 50 42 55 113,40,115 81 44 107 113,21,23,19,21,24,14,42,var_0 counter_var_1 +,42,counter_var_0 var_1 +
102,115 69 38 20 113,26,115 95 17 108 113,11,8,15,17,20,15,28,var_0 counter_var_1 +,23,counter_var_0 var_1 +
103,115 19 107 60 113,34,115 49 40 11 113,19,20,15,17,29,11,36,var_0 counter_var_1 +,35,counter_var_0 var_1 +
104,115 77 111 12 113,38,115 99 30 70 113,19,12,19,7,12,8,26,var_0 counter_var_1 +,31,counter_var_0 var_1 +
105,115 6 4 52 113,10,115 23 39 14 113,6,23,4,16,21,14,22,var_0 counter_var_1 +,27,counter_var_0 var_1 +
106,115 88 99 85 113,8,115 5 30 70 113,1,5,7,7,23,8,8,var_0 counter_var_1 +,12,counter_var_0 var_1 +
107,115 98 61 18 113,26,115 18 5 47 113,11,18,15,5,18,16,16,var_0 counter_var_1 +,33,counter_var_0 var_1 +
108,115 70 14 24 113,26,115 16 13 91 113,12,16,14,13,24,29,25,var_0 counter_var_1 +,30,counter_var_0 var_1 +
109,115 13 4 52 113,17,115 87 78 65 113,13,0,4,9,21,3,22,var_0 counter_var_1 +,4,counter_var_0 var_1 +
110,115 54 38 20 113,40,115 67 33 50 113,25,9,15,10,20,19,35,var_0 counter_var_1 +,24,counter_var_0 var_1 +
111,115 21 7 10 113,28,115 33 57 1 113,21,4,7,11,10,1,32,var_0 counter_var_1 +,11,counter_var_0 var_1 +
112,115 68 98 78 113,16,115 87 64 19 113,10,0,6,18,16,19,28,var_0 counter_var_1 +,6,counter_var_0 var_1 +
113,115 10 68 100 113,32,115 79 56 59 113,10,21,22,10,7,28,20,var_0 counter_var_1 +,43,counter_var_0 var_1 +
114,115 43 105 62 113,27,115 9 69 99 113,14,9,13,0,0,6,14,var_0 counter_var_1 +,22,counter_var_0 var_1 +
115,115 45 80 31 113,27,115 35 91 33 113,16,6,11,22,0,2,38,var_0 counter_var_1 +,17,counter_var_0 var_1 +
116,115 15 31 109 113,23,115 81 22 75 113,15,23,8,22,16,13,37,var_0 counter_var_1 +,31,counter_var_0 var_1 +
117,115 108 79 57 113,31,115 53 14 24 113,21,24,10,14,26,24,35,var_0 counter_var_1 +,34,counter_var_0 var_1 +
118,115 77 88 66 113,38,115 11 6 56 113,19,11,19,6,4,25,25,var_0 counter_var_1 +,30,counter_var_0 var_1 +
119,115 87 35 9 113,12,115 34 51 97 113,0,5,12,5,9,4,5,var_0 counter_var_1 +,17,counter_var_0 var_1 +
120,115 28 102 16 113,38,115 23 93 37 113,28,23,10,1,16,6,29,var_0 counter_var_1 +,33,counter_var_0 var_1 +
121,115 112 74 13 113,30,115 13 14 24 113,25,13,5,14,13,24,39,var_0 counter_var_1 +,18,counter_var_0 var_1 +
122,115 104 98 78 113,23,115 20 84 32 113,17,20,6,15,16,1,32,var_0 counter_var_1 +,26,counter_var_0 var_1 +
123,115 78 57 1 113,31,115 66 76 93 113,20,8,11,7,1,0,27,var_0 counter_var_1 +,19,counter_var_0 var_1 +
124,115 60 3 15 113,5,115 32 106 35 113,2,3,3,14,15,4,16,var_0 counter_var_1 +,6,counter_var_0 var_1 +
125,115 111 110 61 113,42,115 77 68 100 113,24,19,18,22,30,7,46,var_0 counter_var_1 +,37,counter_var_0 var_1 +
126,115 100 51 97 113,18,115 9 97 81 113,13,9,5,5,4,19,18,var_0 counter_var_1 +,14,counter_var_0 var_1 +
127,115 95 22 75 113,30,115 75 54 83 113,8,17,22,8,13,21,16,var_0 counter_var_1 +,39,counter_var_0 var_1 +
128,115 65 57 1 113,18,115 76 22 75 113,7,18,11,22,1,13,29,var_0 counter_var_1 +,29,counter_var_0 var_1 +
129,115 58 80 31 113,11,115 52 89 28 113,0,23,11,20,0,28,20,var_0 counter_var_1 +,34,counter_var_0 var_1 +
130,115 11 9 87 113,20,115 43 28 7 113,11,14,9,5,25,7,16,var_0 counter_var_1 +,23,counter_var_0 var_1 +
131,115 44 35 9 113,27,115 86 6 56 113,15,28,12,6,9,25,21,var_0 counter_var_1 +,40,counter_var_0 var_1 +
132,115 100 94 39 113,15,115 50 81 54 113,13,21,2,12,8,23,25,var_0 counter_var_1 +,23,counter_var_0 var_1 +
133,115 47 14 24 113,32,115 110 26 112 113,18,23,14,3,24,19,21,var_0 counter_var_1 +,37,counter_var_0 var_1 +
134,115 49 65 17 113,39,115 58 4 52 113,20,0,19,4,17,21,24,var_0 counter_var_1 +,19,counter_var_0 var_1 +
135,115 97 13 91 113,23,115 22 17 108 113,10,22,13,17,29,15,27,var_0 counter_var_1 +,35,counter_var_0 var_1 +
136,115 110 44 107 113,44,115 98 85 3 113,23,11,21,16,14,3,39,var_0 counter_var_1 +,32,counter_var_0 var_1 +
137,115 107 49 72 113,23,115 14 43 110 113,20,14,3,20,10,17,40,var_0 counter_var_1 +,17,counter_var_0 var_1 +
138,115 58 87 69 113,18,115 4 90 90 113,0,4,18,21,7,28,21,var_0 counter_var_1 +,22,counter_var_0 var_1 +
139,115 89 35 9 113,14,115 98 25 111 113,2,11,12,2,9,18,4,var_0 counter_var_1 +,23,counter_var_0 var_1 +
140,115 106 61 18 113,34,115 104 57 1 113,19,17,15,11,18,1,30,var_0 counter_var_1 +,32,counter_var_0 var_1 +
141,115 35 68 100 113,28,115 14 1 40 113,6,14,22,1,7,9,7,var_0 counter_var_1 +,36,counter_var_0 var_1 +
142,115 26 89 28 113,46,115 103 87 69 113,26,16,20,18,28,7,44,var_0 counter_var_1 +,36,counter_var_0 var_1 +
143,115 19 69 99 113,19,115 7 107 60 113,19,7,0,15,6,29,34,var_0 counter_var_1 +,7,counter_var_0 var_1 +
144,115 35 59 23 113,19,115 12 69 99 113,6,12,13,0,23,6,6,var_0 counter_var_1 +,25,counter_var_0 var_1 +
145,115 43 76 93 113,21,115 54 38 20 113,14,25,7,15,0,20,29,var_0 counter_var_1 +,32,counter_var_0 var_1 +
146,115 89 34 27 113,13,115 14 38 20 113,2,14,11,15,27,20,17,var_0 counter_var_1 +,25,counter_var_0 var_1 +
147,115 90 1 40 113,4,115 71 32 64 113,3,13,1,9,9,2,12,var_0 counter_var_1 +,14,counter_var_0 var_1 +
148,115 88 61 18 113,16,115 29 30 70 113,1,0,15,7,18,8,8,var_0 counter_var_1 +,15,counter_var_0 var_1 +
149,115 66 68 100 113,30,115 104 47 34 113,8,17,22,1,7,3,9,var_0 counter_var_1 +,39,counter_var_0 var_1 +
150,115 100 81 54 113,25,115 52 86 45 113,13,23,12,17,23,14,30,var_0 counter_var_1 +,35,counter_var_0 var_1 +
151,115 4 71 74 113,6,115 2 7 10 113,4,2,2,7,12,10,11,var_0 counter_var_1 +,4,counter_var_0 var_1 +
152,115 9 43 110 113,29,115 106 89 28 113,9,19,20,20,17,28,29,var_0 counter_var_1 +,39,counter_var_0 var_1 +
153,115 20 6 56 113,26,115 9 103 49 113,20,9,6,11,25,18,31,var_0 counter_var_1 +,15,counter_var_0 var_1 +
154,115 40 22 75 113,33,115 53 46 80 113,11,24,22,0,13,18,11,var_0 counter_var_1 +,46,counter_var_0 var_1 +
155,115 10 0 101 113,10,115 56 39 14 113,10,27,0,16,8,14,26,var_0 counter_var_1 +,27,counter_var_0 var_1 +
156,115 0 7 10 113,7,115 0 40 11 113,0,0,7,17,10,11,17,var_0 counter_var_1 +,7,counter_var_0 var_1 +
157,115 95 108 58 113,24,115 47 29 25 113,8,18,16,6,27,25,14,var_0 counter_var_1 +,34,counter_var_0 var_1 +
158,115 24 42 55 113,43,115 93 34 27 113,24,6,19,11,24,27,35,var_0 counter_var_1 +,25,counter_var_0 var_1 +
159,115 105 48 89 113,20,115 85 69 99 113,18,27,2,0,27,6,18,var_0 counter_var_1 +,29,counter_var_0 var_1 +
160,115 56 26 112 113,30,115 13 5 47 113,27,13,3,5,19,16,32,var_0 counter_var_1 +,16,counter_var_0 var_1 +
161,115 112 80 31 113,36,115 85 28 7 113,25,27,11,5,0,7,30,var_0 counter_var_1 +,38,counter_var_0 var_1 +
162,115 65 98 78 113,13,115 25 62 41 113,7,25,6,16,16,10,23,var_0 counter_var_1 +,31,counter_var_0 var_1 +
163,115 89 15 53 113,17,115 1 75 82 113,2,1,15,6,22,20,8,var_0 counter_var_1 +,16,counter_var_0 var_1 +
164,115 55 75 82 113,32,115 59 90 90 113,26,1,6,21,20,28,47,var_0 counter_var_1 +,7,counter_var_0 var_1 +
165,115 46 38 20 113,32,115 62 34 27 113,17,4,15,11,20,27,28,var_0 counter_var_1 +,19,counter_var_0 var_1 +
166,115 2 93 37 113,3,115 108 57 1 113,2,21,1,11,6,1,13,var_0 counter_var_1 +,22,counter_var_0 var_1 +
167,115 76 25 111 113,20,115 26 103 49 113,18,26,2,11,18,18,29,var_0 counter_var_1 +,28,counter_var_0 var_1 +
168,115 20 30 70 113,27,115 52 35 9 113,20,23,7,12,8,9,32,var_0 counter_var_1 +,30,counter_var_0 var_1 +
169,115 41 80 31 113,23,115 8 57 1 113,12,8,11,11,0,1,23,var_0 counter_var_1 +,19,counter_var_0 var_1 +
170,115 73 57 1 113,26,115 4 38 20 113,15,4,11,15,1,20,30,var_0 counter_var_1 +,15,counter_var_0 var_1 +
171,115 65 96 6 113,11,115 6 32 64 113,7,6,4,9,6,2,16,var_0 counter_var_1 +,10,counter_var_0 var_1 +
172,115 59 77 105 113,9,115 6 75 82 113,1,6,8,6,12,20,7,var_0 counter_var_1 +,14,counter_var_0 var_1 +
173,115 32 46 80 113,3,115 86 33 50 113,3,28,0,10,18,19,13,var_0 counter_var_1 +,28,counter_var_0 var_1 +
174,115 19 37 42 113,33,115 67 93 37 113,19,9,14,1,11,6,20,var_0 counter_var_1 +,23,counter_var_0 var_1 +
175,115 37 85 3 113,24,115 31 78 65 113,8,2,16,9,3,3,17,var_0 counter_var_1 +,18,counter_var_0 var_1 +
176,115 112 100 0 113,33,115 108 61 18 113,25,21,8,15,0,18,40,var_0 counter_var_1 +,29,counter_var_0 var_1 +
177,115 50 77 105 113,29,115 3 88 66 113,21,3,8,19,12,4,40,var_0 counter_var_1 +,11,counter_var_0 var_1 +
178,115 74 69 99 113,16,115 42 29 25 113,16,13,0,6,6,25,22,var_0 counter_var_1 +,13,counter_var_0 var_1 +
179,115 30 19 86 113,20,115 21 12 21 113,1,21,19,12,24,21,13,var_0 counter_var_1 +,40,counter_var_0 var_1 +
180,115 20 84 32 113,35,115 97 41 22 113,20,10,15,18,1,22,38,var_0 counter_var_1 +,25,counter_var_0 var_1 +
181,115 77 68 100 113,41,115 61 51 97 113,19,3,22,5,7,4,24,var_0 counter_var_1 +,25,counter_var_0 var_1 +
182,115 40 82 67 113,24,115 60 99 85 113,11,2,13,7,5,23,18,var_0 counter_var_1 +,15,counter_var_0 var_1 +
183,115 58 22 75 113,22,115 2 55 48 113,0,2,22,9,13,17,9,var_0 counter_var_1 +,24,counter_var_0 var_1 +
184,115 64 49 72 113,9,115 63 85 3 113,6,5,3,16,10,3,22,var_0 counter_var_1 +,8,counter_var_0 var_1 +
185,115 36 66 102 113,27,115 93 54 83 113,7,6,20,8,9,21,15,var_0 counter_var_1 +,26,counter_var_0 var_1 +
186,115 46 59 23 113,30,115 35 12 21 113,17,6,13,12,23,21,29,var_0 counter_var_1 +,19,counter_var_0 var_1 +
187,115 37 4 52 113,12,115 100 91 33 113,8,13,4,22,21,2,30,var_0 counter_var_1 +,17,counter_var_0 var_1 +
188,115 84 64 19 113,44,115 26 85 3 113,26,26,18,16,19,3,42,var_0 counter_var_1 +,44,counter_var_0 var_1 +
189,115 88 44 107 113,22,115 33 3 15 113,1,4,21,3,14,15,4,var_0 counter_var_1 +,25,counter_var_0 var_1 +
190,115 3 21 92 113,24,115 26 89 28 113,3,26,21,20,30,28,23,var_0 counter_var_1 +,47,counter_var_0 var_1 +
191,115 82 71 74 113,26,115 1 46 80 113,24,1,2,0,12,18,24,var_0 counter_var_1 +,3,counter_var_0 var_1 +
192,115 63 13 91 113,18,115 76 12 21 113,5,18,13,12,29,21,17,var_0 counter_var_1 +,31,counter_var_0 var_1 +
193,115 4 48 89 113,6,115 70 95 29 113,4,12,2,3,27,29,7,var_0 counter_var_1 +,14,counter_var_0 var_1 +
194,115 111 4 52 113,28,115 95 81 54 113,24,8,4,12,21,23,36,var_0 counter_var_1 +,12,counter_var_0 var_1 +
195,115 35 98 78 113,12,115 33 109 79 113,6,4,6,17,16,17,23,var_0 counter_var_1 +,10,counter_var_0 var_1 +
196,115 27 30 70 113,34,115 28 111 12 113,27,28,7,19,8,12,46,var_0 counter_var_1 +,35,counter_var_0 var_1 +
197,115 30 22 75 113,23,115 59 55 48 113,1,1,22,9,13,17,10,var_0 counter_var_1 +,23,counter_var_0 var_1 +
198,115 89 40 11 113,19,115 97 0 101 113,2,10,17,0,11,8,2,var_0 counter_var_1 +,27,counter_var_0 var_1 +
199,115 49 18 73 113,38,115 59 82 67 113,20,1,18,13,11,5,33,var_0 counter_var_1 +,19,counter_var_0 var_1 +
200,115 83 12 21 113,37,115 44 7 10 113,25,15,12,7,21,10,32,var_0 counter_var_1 +,27,counter_var_0 var_1 +
201,115 59 52 95 113,7,115 40 105 62 113,1,11,6,13,2,0,14,var_0 counter_var_1 +,17,counter_var_0 var_1 +
202,115 83 23 4 113,25,115 82 3 15 113,25,24,0,3,4,15,28,var_0 counter_var_1 +,24,counter_var_0 var_1 +
203,115 78 52 95 113,26,115 87 26 112 113,20,0,6,3,2,19,23,var_0 counter_var_1 +,6,counter_var_0 var_1 +
204,115 18 76 93 113,25,115 55 93 37 113,18,26,7,1,0,6,19,var_0 counter_var_1 +,33,counter_var_0 var_1 +
205,115 91 12 21 113,16,115 110 46 80 113,4,23,12,0,21,18,4,var_0 counter_var_1 +,35,counter_var_0 var_1 +
206,115 49 6 56 113,26,115 71 19 86 113,20,13,6,19,25,24,39,var_0 counter_var_1 +,19,counter_var_0 var_1 +
207,115 105 31 109 113,26,115 87 59 23 113,18,0,8,13,16,23,31,var_0 counter_var_1 +,8,counter_var_0 var_1 +
208,115 56 8 26 113,35,115 28 63 43 113,27,28,8,17,26,12,44,var_0 counter_var_1 +,36,counter_var_0 var_1 +
